Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	8	385	95	96	ARANAÐME	0.125
2	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	0.1875
3	9	Si4b1	B4b1	313	313	1	8	385	95	96	.	0.3125
4	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	0.375
5	9	Si4b1	B4b1	313	313	1	8	385	95	96	.	0.5
6	9	Sol4	G4	296	296	1	16	192	50	96	.	0.5625
7	9	Si4b1	B4b1	313	313	1	16	192	50	96	.	0.625
8	9	Sol4	G4	296	296	1	8	385	95	96	.	0.75
9	9	Si4b1	B4b1	313	313	1	4	769	95	96	.	1
10	53			0	0	0	0	0	0	0		1
11	9	Sol4	G4	296	296	1	8	385	95	96	.	1.125
12	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	1.1875
13	9	Si4b1	B4b1	313	313	1	8	385	95	96	.	1.3125
14	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	1.375
15	9	Si4b1	B4b1	313	313	1	8	385	95	96	.	1.5
16	9	Sol4	G4	296	296	1	16	192	50	96	.	1.5625
17	9	Si4b1	B4b1	313	313	1	16	192	50	96	.	1.625
18	9	Sol4	G4	296	296	1	8	385	95	96	.	1.75
19	9	Si4b1	B4b1	313	313	1	4	769	95	96	.	2
20	53			0	0	0	0	0	0	0		2
21	9			-1	-1	1	8	385	100	0		2.125
22	9	Fa5#3	F5#4	343	344	1	16	192	95	96	.	2.1875
23	9	Sol5	G5	349	349	1	16	192	95	96	.	2.25
24	12	La5	A5	358	358	2	16	385	95	96	.	2.375
25	9	Sol5	G5	349	349	1	16	192	95	96	.	2.4375
26	9	Fa5#3	F5#4	343	344	1	16	192	95	96	.	2.5
27	7	Fa5#3	F5#4	343	344	2	16	385	95	96	.	2.625
28	9	Mi5b3	E5b4	333	332	1	16	192	95	96	.	2.6875
29	9	Fa5#3	F5#4	343	344	1	16	192	95	96	.	2.75
30	12	Sol5	G5	349	349	2	16	385	95	96	.	2.875
31	9	Fa5#3	F5#4	343	344	1	16	192	95	96	.	2.9375
32	9	Mi5b3	E5b4	333	332	1	16	192	95	96	.	3
33	9	Re5	D5	327	327	3	32	288	95	96	.	3.09375
34	9	Do5	C5	318	318	1	32	96	95	96	.	3.125
35	9	Re5	D5	327	327	1	16	192	95	96	.	3.1875
36	9	Mi5b3	E5b4	333	332	1	16	192	95	96	.	3.25
37	9	Fa5#3	F5#4	343	344	1	16	192	95	96	.	3.3125
38	9	Sol5	G5	349	349	1	16	192	95	96	.	3.375
39	9	Fa5#3	F5#4	343	344	1	16	192	95	96	.	3.4375
40	9	Mi5b3	E5b4	333	332	1	16	192	95	96	.	3.5
41	9	Re5	D5	327	327	1	16	192	95	96	.	3.5625
42	9	Do5	C5	318	318	1	16	192	95	96	.	3.625
43	9	Si4b1	B4b1	313	313	1	16	192	95	96	.	3.6875
44	9	Do5	C5	318	318	1	16	192	95	96	.	3.75
45	9	Re5	D5	327	327	1	4	769	95	96	.	4
46	53			0	0	0	0	0	0	0		4
47	9			-1	-1	1	8	385	100	0		4.125
48	9	Fa5#3	F5#4	343	344	1	16	192	95	96	.	4.1875
49	9	Sol5	G5	349	349	1	16	192	95	96	.	4.25
50	12	La5	A5	358	358	2	16	385	95	96	.	4.375
51	9	Sol5	G5	349	349	1	16	192	95	96	.	4.4375
52	9	Fa5#3	F5#4	343	344	1	16	192	95	96	.	4.5
53	7	Fa5#3	F5#4	343	344	2	16	385	95	96	.	4.625
54	9	Mi5b3	E5b4	333	332	1	16	192	95	96	.	4.6875
55	9	Fa5#3	F5#4	343	344	1	16	192	95	96	.	4.75
56	12	Sol5	G5	349	349	2	16	385	95	96	.	4.875
57	9	Fa5#3	F5#4	343	344	1	16	192	95	96	.	4.9375
58	9	Mi5b3	E5b4	333	332	1	16	192	95	96	.	5
59	9	Re5	D5	327	327	3	32	288	95	96	.	5.09375
60	9	Do5	C5	318	318	1	32	96	95	96	.	5.125
61	9	Re5	D5	327	327	1	16	192	95	96	.	5.1875
62	9	Mi5b3	E5b4	333	332	1	16	192	95	96	.	5.25
63	9	Fa5#3	F5#4	343	344	1	16	192	95	96	.	5.3125
64	9	Sol5	G5	349	349	1	16	192	95	96	.	5.375
65	9	Fa5#3	F5#4	343	344	1	16	192	95	96	.	5.4375
66	9	Mi5b3	E5b4	333	332	1	16	192	95	96	.	5.5
67	9	Re5	D5	327	327	1	16	192	95	96	.	5.5625
68	9	Do5	C5	318	318	1	16	192	95	96	.	5.625
