Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	MS	LNS	VelOn	Soz1
1	9	Sol4	G4	296	296	1	16	114	95	96	
2	9	Do5	C5	318	318	1	8	227	95	96	
3	9	Do5	C5	318	318	1	16	114	95	96	
4	9	Do5	C5	318	318	1	8	227	95	96	
5	9	Re5	D5	327	327	1	16	114	95	96	
6	9	Mi5	E5	336	336	1	16	114	95	96	
7	9	Do5	C5	318	318	1	16	114	95	96	
8	9	Re5	D5	327	327	1	8	227	95	96	
9	9	Si4b1	B4b1	313	313	1	16	114	95	96	
10	9	Do5	C5	318	318	1	16	114	95	96	
11	9	Re5	D5	327	327	1	16	114	95	96	
12	9	Si4b1	B4b1	313	313	1	16	114	95	96	
13	9	Do5	C5	318	318	1	16	114	95	96	
14	9	La4	A4	305	305	1	16	114	95	96	
15	9	Si4b1	B4b1	313	313	1	16	114	95	96	
16	9	Sol4	G4	296	296	1	16	114	95	96	
16.5	53										
17	9	Do5	C5	318	318	1	8	227	95	96	
18	9	Do5	C5	318	318	1	16	114	95	96	
19	9	Do5	C5	318	318	1	16	114	95	96	
20	9	Si4b1	B4b1	313	313	1	16	114	95	96	
21	9	Do5	C5	318	318	1	16	114	95	96	
22	9	Re5	D5	327	327	1	16	114	95	96	
23	9	Do5	C5	318	318	1	16	114	95	96	
24	9	Si4b1	B4b1	313	313	1	16	114	95	96	
25	9	Si4b1	B4b1	313	313	1	16	114	95	96	
26	9	La4	A4	305	305	1	16	114	95	96	
27	9	La4	A4	305	305	3	8	682	95	96	
27.5	53										
28	9	Sol4	G4	296	296	1	16	114	95	96	
29	9	Do5	C5	318	318	1	8	227	95	96	
30	9	Do5	C5	318	318	1	16	114	95	96	
31	9	Do5	C5	318	318	1	8	227	95	96	
32	9	Re5	D5	327	327	1	16	114	95	96	
33	9	Mi5	E5	336	336	1	16	114	95	96	
34	9	Do5	C5	318	318	1	16	114	95	96	
35	9	Re5	D5	327	327	1	8	227	95	96	
36	9	Si4b1	B4b1	313	313	1	16	114	95	96	
37	9	Do5	C5	318	318	1	16	114	95	96	
38	9	Re5	D5	327	327	1	16	114	95	96	
39	9	Si4b1	B4b1	313	313	1	16	114	95	96	
40	9	Do5	C5	318	318	1	16	114	95	96	
41	9	La4	A4	305	305	1	16	114	95	96	
42	9	Si4b1	B4b1	313	313	1	16	114	95	96	
43	9	Sol4	G4	296	296	1	16	114	95	96	
43.5	53										
44	9	Do5	C5	318	318	1	8	227	95	96	
45	9	Do5	C5	318	318	1	16	114	95	96	
46	9	Do5	C5	318	318	1	16	114	95	96	
47	9	Si4b1	B4b1	313	313	1	16	114	95	96	
48	9	Do5	C5	318	318	1	16	114	95	96	
49	9	Re5	D5	327	327	1	16	114	95	96	
50	9	Do5	C5	318	318	1	16	114	95	96	
51	9	Si4b1	B4b1	313	313	1	16	114	95	96	
52	9	Si4b1	B4b1	313	313	1	16	114	95	96	
53	9	La4	A4	305	305	1	16	114	95	96	
54	9	La4	A4	305	305	3	8	682	95	96	
54.5	53										
55	9	Sol5	G5	349	349	3	16	341	95	96	
56	9	Fa5#4	F5#4	344	344	1	16	114	95	96	
57	9	Sol5	G5	349	349	1	8	227	95	96	
58	9	Es	Es			1	8	227	95	96	
59	9	Sol5	G5	349	349	1	8	227	95	96	
60	9	La5	A5	358	358	1	8	227	95	96	
61	9	Sol5	G5	349	349	1	8	227	99	96	
62	9	Fa5#4	F5#4	344	344	1	8	227	95	96	
63	9	Mi5	E5	336	336	1	8	227	95	96	
64	9	Mi5	E5	336	336	3	16	341	95	96	
65	9	Fa5#4	F5#4	344	344	1	16	114	95	96	
66	9	Sol5	G5	349	349	1	8	227	95	96	
67	9	La5	A5	358	358	1	8	227	95	96	
68	9	Sol5	G5	349	349	1	8	227	99	96	
69	9	Fa5#4	F5#4	344	344	1	8	227	95	96	
70	9	Mi5	E5	336	336	1	4	455	95	96	
71	9	Fa5#4	F5#4	344	344	1	8	227	95	96	
72	9	Sol5	G5	349	349	1	4	455	99	96	
73	9	Sol5	G5	349	349	1	4	455	99	96	
74	9	Sol5	G5	349	349	1	4	455	99	96	
75	9	Sol5	G5	349	349	1	4	455	99	96	
76	9	Do6	C6	371	371	1	8	227	95	96	
76.5	53										
77	9	Do6	C6	371	371	3	16	341	99	96	
78	9	Si5b5	B5b5	362	362	1	16	114	99	96	
79	9	Si5b5	B5b5	362	362	3	16	341	99	96	
80	9	La5	A5	358	358	1	16	114	99	96	
81	9	La5	A5	358	358	3	16	341	99	96	
82	9	Sol5	G5	349	349	1	16	114	99	96	
83	9	Si5b5	B5b5	362	362	1	16	114	99	96	
84	9	La5	A5	358	358	1	16	114	99	96	
85	9	Sol5	G5	349	349	1	16	114	99	96	
86	9	Sol5	G5	349	349	1	16	114	99	96	
87	9	Fa5#4	F5#4	344	344	1	8	227	95	96	
88	9	Sol5	G5	349	349	1	4	455	99	96	
89	9	Sol5	G5	349	349	1	4	455	99	96	
90	9	Sol5	G5	349	349	1	4	455	95	96	
91	9	Sol5	G5	349	349	1	16	114	95	96	
92	9	Sol5	G5	349	349	1	16	114	95	96	
93	9	Fa5#4	F5#4	344	344	1	16	114	95	96	
94	9	Mi5b4	E5b4	332	332	1	16	114	95	96	
95	9	Re5	D5	327	327	1	8	227	95	96	
95.5	53										
96	9			-1	-1	1	8	227	95	96	
97	9	Fa5	F5	340	340	1	16	114	95	96	
98	9	Fa5	F5	340	340	1	16	114	95	96	
99	9	Fa5	F5	340	340	1	8	227	95	96	
100	9	Fa5	F5	340	340	1	8	227	95	96	
101	9	Fa5	F5	340	340	1	16	114	99	96	
102	9	Mi5	E5	336	336	1	16	114	99	96	
103	9	Re5	D5	327	327	1	16	114	99	96	
104	9	Do5#4	C5#4	322	322	1	16	114	95	96	
105	9	Re5	D5	327	327	1	16	114	99	96	
106	9	Do5#4	C5#4	322	322	1	16	114	99	96	
107	9	Si4b4	B4b4	310	310	1	16	114	99	96	
108	9	La4	A4	305	305	1	16	114	95	96	
109	9	Si4b4	B4b4	310	310	1	8	227	95	96	
109.5	53										
110	9			-1	-1	1	16	114	95	96	
111	9	Re5	D5	327	327	1	8	227	95	96	
112	9	Re5	D5	327	327	1	16	114	95	96	
113	9	Re5	D5	327	327	1	8	227	95	96	
114	9	Sol5	G5	349	349	1	8	227	95	96	
115	9	Fa5	F5	340	340	1	8	227	99	96	
116	9	Mi5	E5	336	336	1	16	114	99	96	
117	9	Fa5	F5	340	340	1	16	114	95	96	
118	9	La5	A5	358	358	1	16	114	99	96	
119	9	Sol5	G5	349	349	1	16	114	99	96	
120	9	Fa5	F5	340	340	1	16	114	99	96	
121	9	Mi5	E5	336	336	1	16	114	95	96	
122	9	Re5	D5	327	327	1	8	227	95	96	
122.5	53										
123	9			-1	-1	1	16	114	95	96	
124	9	Do5	C5	318	318	1	8	227	95	96	
125	9	Si4	B4	314	314	1	16	114	95	96	
126	9	Do5	C5	318	318	1	4	455	95	96	
127	9	Es	Es			1	4	455	95	96	
128	9	Do5	C5	318	318	1	8	227	95	96	
129	9	Do5	C5	318	318	1	8	227	95	96	
130	9	Re5	D5	327	327	1	16	114	99	96	
131	9	Mi5	E5	336	336	1	16	114	95	96	
131.5	53										
132	9	Do5	C5	318	318	1	16	114	95	96	
133	9	Re5	D5	327	327	1	8	227	95	96	
134	9	Si4b1	B4b1	313	313	1	16	114	95	96	
135	9	Do5	C5	318	318	1	4	455	95	96	
136	9	Es	Es			1	4	455	95	96	
137	9	Do5	C5	318	318	1	8	227	95	96	
138	9	Do5	C5	318	318	1	8	227	95	96	
139	9	Re5	D5	327	327	1	16	114	99	96	
140	9	Mi5	E5	336	336	1	16	114	95	96	
140.5	53										
141	9	Do5	C5	318	318	1	16	114	95	96	
142	9	Fa5	F5	340	340	1	8	227	95	96	
143	9	Fa5	F5	340	340	1	16	114	95	96	
144	9	Fa5	F5	340	340	1	8	227	95	96	
145	9	Mi5b1	E5b1	335	335	1	8	227	95	96	
146	9	Mi5b1	E5b1	335	335	1	8	227	95	96	
147	9	Re5	D5	327	327	1	8	227	95	96	
148	9	Sol5	G5	349	349	1	16	114	99	96	
149	9	Fa5#4	F5#4	344	344	1	16	114	99	96	
150	9	Mi5b4	E5b4	332	332	1	16	114	99	96	
151	9	Re5	D5	327	327	1	16	114	95	96	
152	9	Do5	C5	318	318	1	8	227	95	96	
152.5	53										
153	9	Sol5	G5	349	349	3	16	341	95	96	
154	9	Sol5	G5	349	349	1	16	114	95	96	
155	9	Sol5	G5	349	349	1	4	455	99	96	
156	9	Sol5	G5	349	349	1	4	455	95	96	
157	9	Sol5	G5	349	349	1	16	114	99	96	
158	9	Fa5#4	F5#4	344	344	1	16	114	99	96	
159	9	Mi5b4	E5b4	332	332	1	16	114	99	96	
160	9	Re5	D5	327	327	1	16	114	99	96	
161	9	Re5	D5	327	327	1	8	227	95	96	
161.5	53										
162	9	Do5	C5	318	318	3	16	341	99	96	
163	9	Si4b1	B4b1	313	313	1	16	114	99	96	
164	9	Si4b1	B4b1	313	313	1	8	227	95	96	
165	9	Si4b1	B4b1	313	313	1	16	114	99	96	
166	9	La4	A4	305	305	1	16	114	95	96	
167	9	La4	A4	305	305	1	4	455	95	96	
167.5	53										
168	9	Sol4	G4	296	296	1	16	114	95	96	
169	9	La4	A4	305	305	1	16	114	95	96	
170	9	Si4b1	B4b1	313	313	1	16	114	95	96	
171	9	Re5	D5	327	327	1	16	114	95	96	
172	9	Do5	C5	318	318	1	8	227	95	96	
172.5	53										
173	9			-1	-1	1	16	114	95	96	
174	9	Do5	C5	318	318	1	8	227	95	96	
175	9	Si4	B4	314	314	1	16	114	95	96	
176	9	Do5	C5	318	318	1	4	455	95	96	
177	9	Es	Es			1	4	455	95	96	
