Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	4	556	95	96	ARANAÐME	0.2222222
2	9	La5	A5	358	358	3	8	833	95	96	.	0.5555556
3	9	Sol5	G5	349	349	1	8	278	95	96	.	0.6666667
4	9	Fa5#2	F5#1	342	341	1	8	278	95	96	.	0.7777778
5	9	Mi5	E5	336	336	1	8	278	95	96	.	0.8888889
6	9	Re5	D5	327	327	1	8	278	95	96	.	1
7	9	Mi5	E5	336	336	1	8	278	95	96	.	1.111111
8	9	Fa5#2	F5#1	342	341	1	8	278	95	96	.	1.222222
9	9	Sol5	G5	349	349	1	8	278	95	96	.	1.333333
10	9	Mi5	E5	336	336	1	8	278	95	96	.	1.444444
11	9	Re5	D5	327	327	1	8	278	95	96	.	1.555556
12	9	Re5	D5	327	327	1	16	139	95	96	.	1.611111
13	9	Do5	C5	318	318	1	16	139	95	96	.	1.666667
14	9	Re5	D5	327	327	1	16	139	95	96	.	1.722222
15	9	Mi5	E5	336	336	1	16	139	95	96	.	1.777778
16	9	Do5	C5	318	318	1	8	278	95	96	.	1.888889
17	9	Si4b2	B4b1	312	313	1	8	278	95	96	.	2
18	9	La4	A4	305	305	1	8	278	95	96	.	2.111111
19	9	Si4b2	B4b1	312	313	1	8	278	95	96	.	2.222222
20	10	Do5	C5	318	318	1	8	278	95	96	.	2.333333
21	8	Re5	D5	327	327	0	0	0	95	96	.	2.333333
22	9	Do5	C5	318	318	1	8	278	95	96	.	2.444444
23	9	Si4b2	B4b1	312	313	1	8	278	95	96	.	2.555556
24	9	La4	A4	305	305	3	8	833	95	96	.	2.888889
25	53			0	0	0	0	0	0	0		2.888889
26	9	Sol4	G4	296	296	1	8	278	95	96	.	3
27	9	La4	A4	305	305	1	8	278	95	96	.	3.111111
28	9	Si4b2	B4b1	312	313	1	8	278	95	96	.	3.222222
29	9	Do5	C5	318	318	1	8	278	95	96	.	3.333333
30	9	Re5	D5	327	327	1	8	278	95	96	.	3.444444
31	9	Mi5	E5	336	336	1	8	278	95	96	.	3.555556
32	9	Fa5	F5	340	340	1	16	139	95	96	.	3.611111
33	9	Mi5	E5	336	336	1	16	139	95	96	.	3.666667
34	9	Fa5	F5	340	340	1	16	139	95	96	.	3.722222
35	9	Sol5	G5	349	349	1	16	139	95	96	.	3.777778
36	9	Mi5	E5	336	336	1	8	278	95	96	.	3.888889
37	9	Re5	D5	327	327	1	8	278	95	96	.	4
38	9	Do5	C5	318	318	1	8	278	95	96	.	4.111111
39	9	Si4b2	B4b1	312	313	1	8	278	95	96	.	4.222222
40	9	Re5	D5	327	327	1	8	278	95	96	.	4.333333
41	9	Si4b2	B4b1	312	313	1	8	278	95	96	.	4.444445
42	9	La4	A4	305	305	1	8	278	95	96	.	4.555555
43	9	La4	A4	305	305	1	2	1111	95	96	.	5
44	53			0	0	0	0	0	0	0		5
45	9	Sol5	G5	349	349	1	4	556	95	96	ARANAÐME	5.222222
46	9	La5	A5	358	358	3	8	833	95	96	.	5.555555
47	9	Sol5	G5	349	349	1	8	278	95	96	.	5.666667
48	9	Fa5#2	F5#1	342	341	1	8	278	95	96	.	5.777778
