Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Mi5b5	E5b5	331	331	3	32	268	95	96	ARANAÐME 	0.125
2	9	Re5	D5	327	327	1	32	89	95	96	.	0.1666667
3	9	Mi5b5	E5b5	331	331	1	16	179	95	96	.	0.25
4	9	Fa5	F5	340	340	1	16	179	95	96	.	0.3333333
5	9	Mi5b5	E5b5	331	331	1	16	179	95	96	.	0.4166667
6	9	Re5	D5	327	327	1	16	179	95	96	.	0.5
7	9	Mi5b5	E5b5	331	331	1	16	179	95	96	.	0.5833333
8	9	Re5	D5	327	327	1	16	179	95	96	.	0.6666667
9	9	Mi5b5	E5b5	331	331	1	4	714	95	96	.	1
10	53			0	0	0	0	0	0	0		1
11	9	Sol4	G4	296	296	3	32	268	95	96	.	1.125
12	9	La4	A4	305	305	1	32	89	95	96	.	1.166667
13	9	Si4b5	B4b5	309	309	1	16	179	95	96	.	1.25
14	9	Do5	C5	318	318	1	16	179	95	96	.	1.333333
15	9	Re5	D5	327	327	1	16	179	95	96	.	1.416667
16	9	Mi5b5	E5b5	331	331	1	16	179	95	96	.	1.5
17	9	Sol5	G5	349	349	1	8	357	95	96	.	1.666667
18	9	Re5	D5	327	327	1	4	714	95	96	.	2
19	53			0	0	0	0	0	0	0		2
20	9	Do5	C5	318	318	3	32	268	95	96	.	2.125
21	9	Si4b1	B4b1	313	313	1	32	89	95	96	.	2.166667
22	9	Do5	C5	318	318	1	16	179	95	96	.	2.25
23	9	Re5	D5	327	327	1	16	179	95	96	.	2.333333
24	9	Do5	C5	318	318	1	16	179	95	96	.	2.416667
25	9	Si4b1	B4b1	313	313	1	16	179	95	96	.	2.5
26	9	Do5	C5	318	318	3	32	268	95	96	.	2.625
27	9	Si4b1	B4b1	313	313	1	32	89	95	96	.	2.666667
28	9	Do5	C5	318	318	3	16	536	95	96	.	2.916667
29	53			0	0	0	0	0	0	0		2.916667
30	9	Sol5	G5	349	349	1	16	179	95	96	.	3
31	9	Fa5	F5	340	340	1	16	179	95	96	.	3.083333
32	9	Mi5b5	E5b5	331	331	1	16	179	95	96	.	3.166667
33	9	Re5	D5	327	327	1	16	179	95	96	.	3.25
34	9	Do5	C5	318	318	1	16	179	95	96	.	3.333333
35	9	Si4b5	B4b5	309	309	1	16	179	95	96	.	3.416667
36	9	La4	A4	305	305	1	16	179	95	96	.	3.5
37	9	Sol4	G4	296	296	1	16	179	95	96	.	3.583333
38	9	Fa4#4	F4#4	291	291	1	16	179	95	96	.	3.666667
39	9	Sol4	G4	296	296	1	4	714	95	96	.	4
40	53			0	0	0	0	0	0	0		4
41	9	Mi5b5	E5b5	331	331	3	32	268	95	96	.	4.125
42	9	Re5	D5	327	327	1	32	89	95	96	.	4.166667
43	9	Mi5b5	E5b5	331	331	1	16	179	95	96	.	4.25
44	9	Fa5	F5	340	340	1	16	179	95	96	.	4.333333
45	9	Mi5b5	E5b5	331	331	1	16	179	95	96	.	4.416667
46	9	Re5	D5	327	327	1	16	179	95	96	.	4.5
47	9	Mi5b5	E5b5	331	331	3	32	268	95	96	.	4.625
48	9	Re5	D5	327	327	1	32	89	95	96	.	4.666667
49	9	Mi5b5	E5b5	331	331	1	4	714	95	96	.	5
50	53			0	0	0	0	0	0	0		5
51	9	Mi5b5	E5b5	331	331	1	8	357	95	96	.	5.166667
52	9	Re5	D5	327	327	1	8	357	95	96	.	5.333333
53	9	Do5#4	C5#4	322	322	1	8	357	95	96	.	5.5
54	9	Si4b5	B4b5	309	309	1	16	179	95	96	.	5.583333
55	9	Do5#4	C5#4	322	322	1	16	179	95	96	.	5.666667
56	9	Re5	D5	327	327	1	4	714	95	96	.	6
57	53			0	0	0	0	0	0	0		6
58	9	Si4b5	B4b5	309	309	1	8	357	95	96	.	6.166667
59	9	La4	A4	305	305	1	8	357	95	96	.	6.333333
60	9	Sol4	G4	296	296	1	8	357	95	96	.	6.5
