Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	3	16	500	95	96	ARANAÐME 	0.15
2	9	Do5	C5	318	318	1	16	167	95	96	.	0.2
3	9	Re5	D5	327	327	1	8	333	95	96	.	0.3
4	9	Mi5	E5	336	336	1	4	667	95	96	.	0.5
5	9	Do5	C5	318	318	1	8	333	95	96	.	0.6
6	9	Mi5	E5	336	336	1	8	333	95	96	.	0.7
7	9	Re5	D5	327	327	1	4	667	95	96	.	0.9
8	9			-1	-1	1	8	333	100	0	.	1
9	53			0	0	0	0	0	0	0		1
10	9	Si4b1	B4b1	313	313	3	16	500	95	96	.	1.15
11	9	La4	A4	305	305	1	16	167	95	96	.	1.2
12	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	1.3
13	9	Do5	C5	318	318	1	4	667	95	96	.	1.5
14	9	La4	A4	305	305	1	8	333	95	96	.	1.6
15	9	Do5	C5	318	318	1	8	333	95	96	.	1.7
16	9	Si4b1	B4b1	313	313	1	4	667	95	96	.	1.9
17	9	La4	A4	305	305	1	8	333	95	96	.	2
18	9	Sol4	G4	296	296	1	4	667	95	96	.	2.2
19	53			0	0	0	0	0	0	0		2.2
20	9	La4	A4	305	305	1	8	333	95	96	.	2.3
21	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	2.4
22	9	Do5	C5	318	318	1	8	333	95	96	.	2.5
23	9	Re5	D5	327	327	1	8	333	95	96	.	2.6
24	9	Mi5	E5	336	336	1	8	333	95	96	.	2.7
25	9	Fa5	F5	340	340	1	8	333	95	96	.	2.8
26	9	Mi5	E5	336	336	1	8	333	95	96	.	2.9
27	9	Re5	D5	327	327	1	8	333	95	96	.	3
28	53			0	0	0	0	0	0	0		3
29	9	La5	A5	358	358	1	8	333	95	96	.	3.1
30	9	Sol5	G5	349	349	1	8	333	95	96	.	3.2
31	9	Fa5	F5	340	340	1	8	333	95	96	.	3.3
32	9	Mi5	E5	336	336	1	8	333	95	96	.	3.4
33	9	Re5	D5	327	327	1	8	333	95	96	.	3.5
34	9	Mi5	E5	336	336	1	8	333	95	96	.	3.6
35	9	Do5	C5	318	318	1	8	333	95	96	.	3.7
36	9	Re5	D5	327	327	1	4	667	95	96	.	3.9
37	9			-1	-1	1	8	333	100	0		4
38	53			0	0	0	0	0	0	0		4
39	9	Re5	D5	327	327	3	16	500	95	96	ARANAÐME 	4.15
40	9	Do5	C5	318	318	1	16	167	95	96	.	4.2
41	9	Re5	D5	327	327	1	8	333	95	96	.	4.3
42	9	Mi5	E5	336	336	1	4	667	95	96	.	4.5
43	9	Do5	C5	318	318	1	8	333	95	96	.	4.6
44	9	Mi5	E5	336	336	1	8	333	95	96	.	4.7
45	9	Re5	D5	327	327	1	4	667	95	96	.	4.9
46	9			-1	-1	1	8	333	100	0	.	5
47	53			0	0	0	0	0	0	0		5
48	9	Si4b1	B4b1	313	313	3	16	500	95	96	.	5.15
49	9	La4	A4	305	305	1	16	167	95	96	.	5.2
50	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	5.3
51	9	Do5	C5	318	318	1	4	667	95	96	.	5.5
52	9	La4	A4	305	305	1	8	333	95	96	.	5.6
53	9	Do5	C5	318	318	1	8	333	95	96	.	5.7
54	9	Si4b1	B4b1	313	313	1	4	667	95	96	.	5.9
55	9	La4	A4	305	305	1	8	333	95	96	.	6
56	9	Sol4	G4	296	296	1	4	667	95	96	.	6.2
57	53			0	0	0	0	0	0	0		6.2
58	9	Sol5	G5	349	349	1	8	333	95	96	.	6.3
59	9	Fa5	F5	340	340	1	8	333	95	96	.	6.4
60	9	Mi5	E5	336	336	1	8	333	95	96	.	6.5
61	9	Re5	D5	327	327	1	8	333	95	96	.	6.6
62	9	Do5	C5	318	318	1	8	333	95	96	.	6.7
63	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	6.8
64	9	La4	A4	305	305	1	8	333	95	96	.	6.9
65	9	Sol4	G4	296	296	1	8	333	95	96	.	7
66	53			0	0	0	0	0	0	0		7
67	9	La4	A4	305	305	1	8	333	95	96	.	7.1
68	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	7.2
69	9	Do5	C5	318	318	1	8	333	95	96	.	7.3
70	9	Si4b1	B4b1	313	313	1	8	333	95	96	.	7.4
71	9	La4	A4	305	305	1	8	333	95	96	.	7.5
72	9	Sol4	G4	296	296	1	8	333	95	96	.	7.6
73	9	Fa4#4	F4#4	291	291	1	8	333	95	96	.	7.7
74	9	Sol4	G4	296	296	3	8	1000	100	96	.	8
75	9	Sol4	G4	296	296	1	4	667	95	96		8.2
76	53			0	0	0	0	0	0	0		8.2
77	9	Si4b1	B4b1	313	313	1	8	333	95	96	Ni	8.3
78	9	Si4b1	B4b1	313	313	1	8	333	99	96	han	8.4
79	9	La4	A4	305	305	1	8	333	95	96		8.5
80	9	La4	A4	305	305	1	8	333	99	96	sýn 	8.6
81	9	Sol4	G4	296	296	1	8	333	99	96		8.7
82	9	Sol4	G4	296	296	1	4	667	99	96		8.9
83	9	La4	A4	305	305	1	8	333	95	96		9
84	53			0	0	0	0	0	0	0		9
85	9	Si4b1	B4b1	313	313	1	4	667	99	96	dî	9.2
86	9	La4	A4	305	305	1	8	333	95	96		9.3
87	9	La4	A4	305	305	1	8	333	99	96	de	9.4
88	9	Sol4	G4	296	296	1	8	333	95	96		9.5
89	9	Sol4	G4	296	296	1	2	1334	95	96	den 	9.9
90	9			-1	-1	1	8	333	100	0		10
91	53			0	0	0	0	0	0	0		10
92	9			-1	-1	1	4	667	100	0		10.2
93	9	Do5	C5	318	318	1	8	333	99	96	ey 	10.3
94	9	Re5	D5	327	327	1	4	667	95	96		10.5
95	9	Re5	D5	327	327	1	4	667	99	96	mes	10.7
96	9	Do5	C5	318	318	1	4	667	99	96		10.9
97	9	Si4b1	B4b1	313	313	1	8	333	95	96		11
98	9	Do5	C5	318	318	1	8	333	99	96	ti	11.1
99	9	Re5	D5	327	327	1	8	333	95	96		11.2
100	9	Mi5	E5	336	336	1	4	667	99	96	nâ	11.4
101	9	Re5	D5	327	327	1	8	333	95	96		11.5
102	9	Re5	D5	327	327	1	8	333	99	96	zým  	11.6
103	9	Do5	C5	318	318	1	8	333	99	96		11.7
104	9	Si4b1	B4b1	313	313	1	4	667	99	96		11.9
105	9	La4	A4	305	305	1	8	333	95	96		12
106	9	Sol4	G4	296	296	1	4	667	95	96		12.2
107	53			0	0	0	0	0	0	0		12.2
108	9	Si4b1	B4b1	313	313	1	8	333	95	96	Ni	12.3
109	9	Si4b1	B4b1	313	313	1	8	333	99	96	han	12.4
110	9	La4	A4	305	305	1	8	333	95	96		12.5
111	9	La4	A4	305	305	1	8	333	99	96	sýn 	12.6
112	9	Sol4	G4	296	296	1	8	333	99	96		12.7
113	9	Sol4	G4	296	296	1	4	667	99	96		12.9
114	9	La4	A4	305	305	1	8	333	95	96		13
115	53			0	0	0	0	0	0	0		13
116	9	Si4b1	B4b1	313	313	1	4	667	99	96	dî	13.2
117	9	La4	A4	305	305	1	8	333	95	96		13.3
118	9	La4	A4	305	305	1	8	333	99	96	de	13.4
119	9	Sol4	G4	296	296	1	8	333	95	96		13.5
120	9	Sol4	G4	296	296	1	2	1334	95	96	den 	13.9
121	9			-1	-1	1	8	333	100	0		14
122	53			0	0	0	0	0	0	0		14
123	9			-1	-1	1	4	667	100	0		14.2
124	9	Do5	C5	318	318	1	8	333	99	96	ey 	14.3
125	9	Re5	D5	327	327	1	4	667	95	96		14.5
126	9	Re5	D5	327	327	1	4	667	99	96	mes	14.7
