Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	4	909	95	96	ARANAÐME	0.1666667
2	9	Si4b1	B4b1	313	313	1	4	909	95	96	.	0.3333333
3	9	Re5	D5	327	327	1	8	455	95	96	.	0.4166667
4	9	Mi5	E5	336	336	1	16	227	95	96	.	0.4583333
5	9	Fa5#4	F5#4	344	344	1	16	227	95	96	.	0.5
6	9	La5	A5	358	358	1	16	227	95	96	.	0.5416667
7	9	Sol5	G5	349	349	1	16	227	95	96	.	0.5833333
8	9	Fa5#4	F5#4	344	344	1	16	227	95	96	.	0.625
9	9	Mi5	E5	336	336	1	16	227	95	96	.	0.6666667
10	9	Re5	D5	327	327	1	4	909	95	96	.	0.8333333
11	9			-1	-1	1	4	909	100	0	.	1
12	53			0	0	0	0	0	0	0		1
13	9	Re5	D5	327	327	1	16	227	95	96	.	1.041667
14	9	Do5	C5	318	318	1	16	227	95	96	.	1.083333
15	9	Mi5	E5	336	336	1	16	227	95	96	.	1.125
16	9	Do5	C5	318	318	1	16	227	95	96	.	1.166667
17	9	Do5	C5	318	318	3	16	682	95	96	.	1.291667
18	9	Si4b1	B4b1	313	313	1	16	227	95	96	.	1.333333
19	9	Si4b1	B4b1	313	313	1	16	227	95	96	.	1.375
20	10	La4	A4	305	305	1	16	227	95	96	.	1.416667
21	8	Do5	C5	318	318	0	0	0	95	96	.	1.416667
22	9	Si4b1	B4b1	313	313	1	16	227	95	96	.	1.458333
23	9	La4	A4	305	305	1	16	227	95	96	.	1.5
24	9	La4	A4	305	305	1	16	227	95	96	.	1.541667
25	9	Sol4	G4	296	296	1	16	227	95	96	.	1.583333
26	9	La4	A4	305	305	1	16	227	95	96	.	1.625
27	9	Sol4	G4	296	296	1	16	227	95	96	.	1.666667
28	9	Sol4	G4	296	296	3	8	1364	95	96	.	1.916667
29	9			-1	-1	1	8	455	100	0		2
30	53			0	0	0	0	0	0	0		2
31	9	Sol4	G4	296	296	1	4	909	95	96	ARANAÐME	2.166667
32	9	Si4b1	B4b1	313	313	1	4	909	95	96	.	2.333333
33	9	Re5	D5	327	327	1	8	455	95	96	.	2.416667
34	9	Mi5	E5	336	336	1	16	227	95	96	.	2.458333
35	9	Fa5#4	F5#4	344	344	1	16	227	95	96	.	2.5
36	9	La5	A5	358	358	1	16	227	95	96	.	2.541667
37	9	Sol5	G5	349	349	1	16	227	95	96	.	2.583333
38	9	Fa5#4	F5#4	344	344	1	16	227	95	96	.	2.625
39	9	Mi5	E5	336	336	1	16	227	95	96	.	2.666667
40	9	Re5	D5	327	327	1	4	909	95	96	.	2.833333
41	9			-1	-1	1	4	909	100	0	.	3
42	53			0	0	0	0	0	0	0		3
43	9	Re5	D5	327	327	1	16	227	95	96	.	3.041667
44	9	Do5	C5	318	318	1	16	227	95	96	.	3.083333
45	9	Mi5	E5	336	336	1	16	227	95	96	.	3.125
46	9	Do5	C5	318	318	1	16	227	95	96	.	3.166667
47	9	Do5	C5	318	318	3	16	682	95	96	.	3.291667
48	9	Si4b1	B4b1	313	313	1	16	227	95	96	.	3.333333
49	9	Si4b1	B4b1	313	313	1	16	227	95	96	.	3.375
50	10	La4	A4	305	305	1	16	227	95	96	.	3.416667
51	8	Do5	C5	318	318	0	0	0	95	96	.	3.416667
52	9	Si4b1	B4b1	313	313	1	16	227	95	96	.	3.458333
53	9	La4	A4	305	305	1	16	227	95	96	.	3.5
54	9	La4	A4	305	305	1	16	227	95	96	.	3.541667
55	9	Sol4	G4	296	296	1	16	227	95	96	.	3.583333
56	9	La4	A4	305	305	1	16	227	95	96	.	3.625
57	9	Sol4	G4	296	296	1	16	227	95	96	.	3.666667
58	9	Sol4	G4	296	296	3	8	1364	95	96	.	3.916667
59	9			-1	-1	1	8	455	100	0		4
60	53			0	0	0	0	0	0	0		4
61	9	Sol4	G4	296	296	3	16	682	99	96	Dil 	4.125
62	9	La4	A4	305	305	1	16	227	95	96		4.166667
63	9	Si4b1	B4b1	313	313	1	8	455	99	96	bir 	4.25
64	9	La4	A4	305	305	1	16	227	99	96		4.291667
65	9	Sol4	G4	296	296	1	16	227	95	96		4.333333
66	9	Do5	C5	318	318	1	8	455	99	96	gü	4.416667
67	9	Si4b1	B4b1	313	313	1	16	227	99	96		4.458333
68	9	La4	A4	305	305	1	16	227	95	96		4.5
69	9	Si4b1	B4b1	313	313	1	16	227	99	96	ze	4.541667
70	9	Do5	C5	318	318	1	32	114	99	96		4.5625
71	9	Re5	D5	327	327	1	32	114	99	96		4.583333
72	9	Do5	C5	318	318	1	16	227	99	96		4.625
73	9	Si4b1	B4b1	313	313	1	16	227	95	96		4.666667
74	9	Si4b1	B4b1	313	313	3	8	1364	99	96	le 	4.916667
75	9	Re5	D5	327	327	1	8	455	95	96		5
76	53			0	0	0	0	0	0	0		5
77	9	Re5	D5	327	327	1	4	909	95	96	meyl_	5.166667
78	9	Re5	D5	327	327	1	4	909	95	96	et	5.333333
79	9	Re5	D5	327	327	1	4	909	95	96	ti 	5.5
80	9	Do5#4	C5#4	322	322	1	16	227	99	96	he	5.541667
81	9	Re5	D5	327	327	1	16	227	99	96		5.583333
82	10	Mi5	E5	336	336	1	16	227	99	96		5.625
83	8	Fa5#4	F5#4	344	344	0	0	0	99	96		5.625
84	9	Mi5	E5	336	336	1	32	114	99	96		5.645833
85	9	Re5	D5	327	327	1	32	114	95	96		5.666667
86	9	Re5	D5	327	327	3	8	1364	95	96	le  	5.916667
87	9			-1	-1	1	8	455	100	0		6
88	53			0	0	0	0	0	0	0		6
89	9	Re5	D5	327	327	3	16	682	99	96	Fâþ 	6.125
90	9	La4	A4	305	305	1	16	227	95	96		6.166667
91	9	Re5	D5	327	327	1	4	909	95	96	et	6.333333
92	9	Re5	D5	327	327	1	16	227	99	96	me 	6.375
93	9	Mi5	E5	336	336	1	16	227	99	96		6.416667
94	9	Fa5#4	F5#4	344	344	1	16	227	99	96		6.458333
95	9	Sol5	G5	349	349	1	16	227	95	96		6.5
96	9	La5	A5	358	358	1	16	227	99	96	e	6.541667
97	9	Sol5	G5	349	349	1	16	227	99	96		6.583333
98	9	Fa5#4	F5#4	344	344	1	16	227	99	96		6.625
99	9	Mi5	E5	336	336	1	16	227	95	96		6.666667
100	9	Re5	D5	327	327	1	4	909	95	96	le 	6.833333
101	9			-1	-1	1	4	909	100	0		7
102	53			0	0	0	0	0	0	0		7
103	9	Re5	D5	327	327	3	16	682	99	96	fâþ 	7.125
104	9	La4	A4	305	305	1	16	227	95	96		7.166667
105	9	Re5	D5	327	327	1	4	909	95	96	et	7.333333
106	9	Re5	D5	327	327	1	16	227	99	96	me 	7.375
107	9	Mi5	E5	336	336	1	16	227	99	96		7.416667
108	9	Fa5#4	F5#4	344	344	1	16	227	99	96		7.458333
109	9	Sol5	G5	349	349	1	16	227	95	96		7.5
110	9	La5	A5	358	358	1	16	227	99	96	e	7.541667
111	9	Sol5	G5	349	349	1	16	227	99	96		7.583333
112	9	Fa5#4	F5#4	344	344	1	16	227	99	96		7.625
113	9	Mi5	E5	336	336	1	16	227	95	96		7.666667
114	9	Re5	D5	327	327	1	2	1818	95	96	le  	8
115	53			0	0	0	0	0	0	0		8
116	9	Re5	D5	327	327	1	16	227	99	96	Sev	8.041667
117	9	Do5	C5	318	318	1	16	227	99	96		8.083333
118	9	Mi5	E5	336	336	1	16	227	99	96		8.125
