Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	3	16	714	95	96	ARANAÐME	0.125
2	9	Sol4	G4	296	296	1	16	238	95	96	.	0.1666667
3	9	Sol4	G4	296	296	1	4	952	95	96	.	0.3333333
4	9	Sol4	G4	296	296	1	4	952	95	96	.	0.5
5	9	La4	A4	305	305	3	16	714	95	96	.	0.625
6	9	Do5	C5	318	318	1	16	238	95	96	.	0.6666667
7	9	Si4b1	B4b1	313	313	3	16	714	95	96	.	0.7916667
8	9	La4	A4	305	305	1	16	238	95	96	.	0.8333333
9	9	Sol4	G4	296	296	1	4	952	95	96	.	1
10	53			0	0	0	0	0	0	0		1
11	9	La4	A4	305	305	3	16	714	95	96	.	1.125
12	9	La4	A4	305	305	1	16	238	95	96	.	1.166667
13	9	La4	A4	305	305	1	4	952	95	96	.	1.333333
14	9	Si4b1	B4b1	313	313	1	4	952	95	96	.	1.5
15	9	Sol4	G4	296	296	3	32	357	95	96	.	1.5625
16	9	Fa4#4	F4#4	291	291	1	32	119	95	96	.	1.583333
17	9	Mi4	E4	283	283	1	16	238	95	96	.	1.625
18	9	Fa4#4	F4#4	291	291	1	16	238	95	96	.	1.666667
19	9	Sol4	G4	296	296	3	8	1429	95	96	.	1.916667
20	9			-1	-1	1	8	476	100	0		2
21	53			0	0	0	0	0	0	0		2
22	9	Sol4	G4	296	296	3	16	714	95	96	ARANAÐME	2.125
23	9	Sol4	G4	296	296	1	16	238	95	96	.	2.166667
24	9	Sol4	G4	296	296	1	4	952	95	96	.	2.333333
25	9	Sol4	G4	296	296	1	4	952	95	96	.	2.5
26	9	La4	A4	305	305	3	16	714	95	96	.	2.625
27	9	Do5	C5	318	318	1	16	238	95	96	.	2.666667
28	9	Si4b1	B4b1	313	313	3	16	714	95	96	.	2.791667
29	9	La4	A4	305	305	1	16	238	95	96	.	2.833333
30	9	Sol4	G4	296	296	1	4	952	95	96	.	3
31	53			0	0	0	0	0	0	0		3
32	9	La4	A4	305	305	3	16	714	95	96	.	3.125
33	9	La4	A4	305	305	1	16	238	95	96	.	3.166667
34	9	La4	A4	305	305	1	4	952	95	96	.	3.333333
35	9	Si4b1	B4b1	313	313	1	4	952	95	96	.	3.5
36	9	Sol4	G4	296	296	3	32	357	95	96	.	3.5625
37	9	Fa4#4	F4#4	291	291	1	32	119	95	96	.	3.583333
38	9	Mi4	E4	283	283	1	16	238	95	96	.	3.625
39	9	Fa4#4	F4#4	291	291	1	16	238	95	96	.	3.666667
40	9	Sol4	G4	296	296	3	8	1429	95	96	.	3.916667
41	9			-1	-1	1	8	476	100	0		4
42	53			0	0	0	0	0	0	0		4
43	9	Sol4	G4	296	296	3	16	714	95	96	.	4.125
44	9	Sol4	G4	296	296	1	16	238	95	96	.	4.166667
45	9	Sol4	G4	296	296	1	4	952	95	96	.	4.333333
46	9			-1	-1	1	4	952	100	0	.	4.5
47	9	Sol4	G4	296	296	1	8	476	95	96	.	4.583333
48	9	Sol4	G4	296	296	1	8	476	95	96	.	4.666667
49	9	Sol4	G4	296	296	3	8	1429	95	96	.	4.916667
50	9			-1	-1	1	8	476	100	0		5
51	9	Sol4	G4	296	296	3	16	714	95	96	Hâ	5.125
52	9	Sol4	G4	296	296	1	16	238	95	96	fý	5.166667
53	9	Sol4	G4	296	296	1	4	952	95	96	zýn	5.333333
54	9	Sol4	G4	296	296	1	4	952	95	96	kab	5.5
55	9	La4	A4	305	305	1	8	476	95	96	ri	5.583333
56	9	Si4b1	B4b1	313	313	1	16	238	99	96	o	5.625
57	9	La4	A4	305	305	1	16	238	95	96		5.666667
58	9	La4	A4	305	305	1	16	238	99	96	lan	5.708333
59	9	Sol4	G4	296	296	1	16	238	99	96		5.75
60	9	Sol4	G4	296	296	1	16	238	99	96		5.791667
61	9	Fa4#4	F4#4	291	291	1	16	238	95	96		5.833333
62	9	Sol4	G4	296	296	1	4	952	95	96	bah	6
63	53			0	0	0	0	0	0	0		6
64	9	La4	A4	305	305	1	8	476	95	96	çe	6.083333
65	9	Do5	C5	318	318	1	8	476	95	96	de	6.166667
66	9	Si4b1	B4b1	313	313	1	8	476	95	96	bir	6.25
67	9	La4	A4	305	305	1	8	476	95	96		6.333333
68	9	Sol4	G4	296	296	1	8	476	99	96	gül	6.416667
69	9	Fa4#4	F4#4	291	291	1	8	476	95	96		6.5
70	9	Fa4#4	F4#4	291	291	1	16	238	99	96	var	6.541667
71	9	Mi4	E4	283	283	1	16	238	99	96		6.583333
72	9	Mi4	E4	283	283	1	16	238	99	96		6.625
73	9	Fa4#4	F4#4	291	291	1	16	238	95	96		6.666667
74	9	Sol4	G4	296	296	3	8	1429	95	96	mýþ	6.916667
75	9			-1	-1	1	8	476	100	0		7
76	53			0	0	0	0	0	0	0		7
77	9	Sol4	G4	296	296	1	8	476	95	96	Ye	7.083333
78	9	Si4b1	B4b1	313	313	1	8	476	95	96	ni	7.166667
79	9	Si4b1	B4b1	313	313	1	4	952	95	96	den	7.333333
80	9	Si4b1	B4b1	313	313	1	4	952	95	96	her	7.5
81	9	La4	A4	305	305	1	8	476	95	96	gün_	7.583333
82	9	Si4b1	B4b1	313	313	1	8	476	95	96	a	7.666667
83	11	Do5	C5	318	318	1	8	476	99	96	çar	7.75
84	9	Do5	C5	318	318	1	16	238	99	96		7.791667
85	11	Si4b1	B4b1	313	313	1	16	238	95	84		7.833333
86	9	Si4b1	B4b1	313	313	1	4	952	95	96	mýþ	8
87	53			0	0	0	0	0	0	0		8
88	9	Si4b1	B4b1	313	313	1	8	476	95	96	ka	8.083333
89	9	Re5	D5	327	327	1	8	476	95	96	na	8.166667
90	9	Do5	C5	318	318	3	16	714	99	96	yan	8.291667
91	9	Si4b1	B4b1	313	313	1	16	238	95	96		8.333333
92	9	Si4b1	B4b1	313	313	3	16	714	99	96	ren	8.458333
93	9	La4	A4	305	305	1	16	238	95	96		8.5
94	9	La4	A4	305	305	1	16	238	99	96	giy	8.541667
95	9	Sol4	G4	296	296	1	16	238	99	96		8.583333
96	9	Sol4	G4	296	296	1	16	238	99	96		8.625
97	9	La4	A4	305	305	1	16	238	95	96		8.666667
98	9	Si4b1	B4b1	313	313	3	8	1429	95	96	le	8.916667
99	9			-1	-1	1	8	476	100	0		9
100	53			0	0	0	0	0	0	0		9
101	9	Sol4	G4	296	296	1	8	476	95	96	Ge	9.083333
102	9	Re5	D5	327	327	1	8	476	95	96	ce	9.166667
103	9	Re5	D5	327	327	1	4	952	95	96	bül	9.333333
104	9	Re5	D5	327	327	1	4	952	95	96	bül	9.5
105	9	Do5	C5	318	318	1	8	476	95	96	a	9.583333
106	9	Fa5	F5	340	340	1	8	476	95	96	ða	9.666667
107	9	Mi5	E5	336	336	3	16	714	99	96	ran	9.791667
108	9	Re5	D5	327	327	1	16	238	95	96		9.833333
109	9	Re5	D5	327	327	3	16	714	99	96	vak	9.958333
110	9	Do5	C5	318	318	1	16	238	95	96		10
111	11	Do5	C5	318	318	1	8	476	95	96	te	10.08333
112	9	Do5	C5	318	318	1	16	238	99	96	ka	10.125
