Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	4	769	100	0		0.25
2	9	Mi5	E5	336	336	1	8	385	95	96	ARANAÐME	0.375
3	9	Fa5	F5	340	340	1	8	385	95	96	.	0.5
4	9	Sol5	G5	349	349	1	8	385	95	96	.	0.625
5	9	Fa5	F5	340	340	1	16	192	95	96	.	0.6875
6	9	Mi5	E5	336	336	1	16	192	95	96	.	0.75
7	9	Fa5	F5	340	340	1	16	192	95	96	.	0.8125
8	9	Mi5	E5	336	336	1	16	192	95	96	.	0.875
9	9	Re5b3	D5b4	324	323	1	16	192	95	96	.	0.9375
10	9	Do5	C5	318	318	1	16	192	95	96	.	1
11	9	Do5	C5	318	318	1	8	385	95	96	.	1.125
12	9	Re5b3	D5b4	324	323	1	16	192	95	96	.	1.1875
13	9	Mi5	E5	336	336	1	16	192	95	96	.	1.25
14	9	Re5b3	D5b4	324	323	1	16	192	95	96	.	1.3125
15	9	Do5	C5	318	318	1	16	192	95	96	.	1.375
16	9	Re5b3	D5b4	324	323	1	16	192	95	96	.	1.4375
17	9	Si4b2	B4b1	312	313	1	16	192	95	96	.	1.5
18	12	Do5	C5	318	318	1	8	385	95	96	.	1.625
19	9	Si4b2	B4b1	312	313	1	16	192	95	96	.	1.6875
20	9	La4	A4	305	305	1	16	192	95	96	.	1.75
21	9	La4	A4	305	305	1	4	769	95	96	.	2
22	53			0	0	0	0	0	0	0		2
23	9	Mi5	E5	336	336	1	16	192	95	96	.	2.0625
24	9	Fa5	F5	340	340	1	16	192	95	96	.	2.125
25	9	Fa5	F5	340	340	1	16	192	95	96	.	2.1875
26	9	Mi5	E5	336	336	1	16	192	95	96	.	2.25
27	9	Mi5	E5	336	336	1	16	192	95	96	.	2.3125
28	9	Re5b3	D5b4	324	323	1	16	192	95	96	.	2.375
29	9	Re5b3	D5b4	324	323	1	16	192	95	96	.	2.4375
30	9	Do5	C5	318	318	1	16	192	95	96	.	2.5
31	9	Re5b3	D5b4	324	323	1	16	192	95	96	.	2.5625
32	9	Do5	C5	318	318	1	8	385	95	96	.	2.6875
33	9	Si4b2	B4b1	312	313	1	16	192	95	96	.	2.75
34	12	Do5	C5	318	318	1	8	385	95	96	.	2.875
35	9	Si4b2	B4b1	312	313	1	24	128	95	96	.	2.916667
36	9	La4	A4	305	305	1	24	128	95	96	.	2.958333
37	9	Si4b2	B4b1	312	313	1	24	128	95	96	.	3
38	9	La4	A4	305	305	3	8	1154	95	96	.	3.375
39	53			0	0	0	0	0	0	0		3.375
40	9	La4	A4	305	305	1	16	192	95	96	.	3.4375
41	9	Si4b2	B4b1	312	313	1	16	192	95	96	.	3.5
42	9	Do5	C5	318	318	1	16	192	95	96	.	3.5625
