Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	MS	LNS	VelOn	Soz1
1	9			-1	-1	1	8	227	95	96	
2	9	Sol4	G4	296	296	1	4	455	95	96	
3	9	La4	A4	305	305	1	8	227	95	96	
4	9	La4	A4	305	305	1	4	455	99	96	
5	9	La4	A4	305	305	1	16	114	99	96	
6	9	Si4b1	B4b1	313	313	1	16	114	99	96	
7	9	La4	A4	305	305	1	16	114	99	96	
8	9	Sol4	G4	296	296	1	16	114	99	96	
9	9	La4	A4	305	305	1	8	227	99	96	
10	9	Si4b1	B4b1	313	313	1	8	227	99	96	
11	9	Do5	C5	318	318	3	16	341	99	96	
12	9	Si4b1	B4b1	313	313	1	16	114	95	96	
13	9	Mi5	E5	336	336	1	16	114	99	96	
14	9	Re5	D5	327	327	1	16	114	95	96	
15	9	Do5	C5	318	318	1	16	114	99	96	
16	9	Si4b1	B4b1	313	313	1	16	114	95	96	
17	9	La4	A4	305	305	1	16	114	99	96	
18	9	Si4b1	B4b1	313	313	1	16	114	99	96	
19	9	Do5	C5	318	318	1	4	455	99	96	
20	9	Si4b1	B4b1	313	313	1	16	114	99	96	
21	9	La4	A4	305	305	1	16	114	99	96	
22	9	La4	A4	305	305	1	4	455	95	96	
22.5	53										
23	9	Re5	D5	327	327	3	16	341	99	96	
24	9	Mi5	E5	336	336	1	16	114	99	96	
25	9	Do5	C5	318	318	3	16	341	99	96	
26	9	Re5	D5	327	327	1	16	114	99	96	
27	9	Si4b1	B4b1	313	313	1	16	114	99	96	
28	9	La4	A4	305	305	1	16	114	99	96	
29	9	Sol4	G4	296	296	1	8	227	99	96	
29.5	53										
30	9	Do5	C5	318	318	3	8	682	99	96	
31	9	Do5	C5	318	318	1	16	114	99	96	
32	9	Si4b1	B4b1	313	313	1	16	114	99	96	
33	9	Si4b1	B4b1	313	313	3	16	341	99	96	
34	9	La4	A4	305	305	1	16	114	95	96	
34.5	54										nikriz@sol4
35	9	La4	A4	305	305	1	8	227	95	96	
36	9	Si4b5	B4b5	309	309	1	16	114	99	96	
37	9	La4	A4	305	305	1	16	114	95	96	
38	9	Re5	D5	327	327	1	16	114	99	96	
39	9	Do5#4	C5#4	322	322	1	16	114	99	96	
40	9	Si4b5	B4b5	309	309	1	16	114	99	96	
41	9	La4	A4	305	305	1	16	114	99	96	
42	9	La4	A4	305	305	1	16	114	99	96	
43	9	Sol4	G4	296	296	1	16	114	99	96	
44	9	Sol4	G4	296	296	1	16	114	99	96	
45	9	Fa4#4	F4#4	291	291	1	16	114	95	96	
46	9	Sol4	G4	296	296	1	4	455	95	96	
46.5	53										
46.6	55										
47	9	Sol4	G4	296	296	3	16	341	99	96	
48	9	Si4b1	B4b1	313	313	1	16	114	99	96	
49	9	La4	A4	305	305	3	16	341	99	96	
50	9	Do5	C5	318	318	1	16	114	99	96	
51	9	Si4b1	B4b1	313	313	3	16	341	99	96	
52	9	Re5	D5	327	327	1	16	114	99	96	
53	9	Do5	C5	318	318	1	8	227	99	96	
54	9	Re5	D5	327	327	1	16	114	99	96	
55	9	Mi5	E5	336	336	1	16	114	99	96	
56	9	Fa5	F5	340	340	1	16	114	99	96	
57	9	Mi5	E5	336	336	1	16	114	99	96	
58	9	Re5	D5	327	327	1	16	114	99	96	
59	9	Mi5	E5	336	336	1	16	114	99	96	
60	9	Re5	D5	327	327	1	8	227	99	96	
61	9	Do5	C5	318	318	1	16	114	99	96	
62	9	Si4b1	B4b1	313	313	1	16	114	95	96	
63	9	Mi5	E5	336	336	1	16	114	99	96	
64	9	Re5	D5	327	327	1	16	114	95	96	
65	9	Do5	C5	318	318	1	16	114	99	96	
66	9	Si4b1	B4b1	313	313	1	16	114	95	96	
67	9	Si4b1	B4b1	313	313	1	16	114	99	96	
68	9	La4	A4	305	305	1	16	114	99	96	
69	9	Si4b1	B4b1	313	313	1	16	114	99	96	
70	9	La4	A4	305	305	1	16	114	99	96	
71	9	La4	A4	305	305	1	4	455	99	96	
72	9	La4	A4	305	305	1	16	114	99	96	
73	9	Fa5	F5	340	340	1	16	114	99	96	
74	9	Mi5	E5	336	336	1	16	114	99	96	
75	9	Re5	D5	327	327	1	16	114	99	96	
75.5	53										
76	9	Do5	C5	318	318	1	8	227	99	96	
77	9	Re5	D5	327	327	1	4	455	99	96	
78	9	Do5	C5	318	318	1	16	114	99	96	
79	9	Si4b1	B4b1	313	313	1	16	114	99	96	
80	9	La4	A4	305	305	1	4	455	95	96	
80.5	53										
81	9	Mi5	E5	336	336	1	8	227	99	96	
82	9	Fa5	F5	340	340	1	4	455	99	96	
83	9	Fa5	F5	340	340	1	16	114	99	96	
84	9	Mi5	E5	336	336	1	16	114	99	96	
85	9	Mi5	E5	336	336	3	16	341	99	96	
86	9	Re5	D5	327	327	1	16	114	95	96	
87	9	Re5	D5	327	327	1	8	227	95	96	
88	9	La5	A5	358	358	1	8	227	95	96	
89	9	La5	A5	358	358	1	16	114	99	96	
90	9	Sol5	G5	349	349	1	16	114	99	96	
91	9	Fa5	F5	340	340	1	16	114	99	96	
92	9	Mi5	E5	336	336	1	16	114	99	96	
93	9	Re5	D5	327	327	1	8	227	99	96	
94	9	Do5	C5	318	318	1	16	114	99	96	
95	9	Si4b1	B4b1	313	313	1	16	114	99	96	
96	9	La4	A4	305	305	1	4	455	95	96	
96.5	53										
97	9	La4	A4	305	305	1	8	227	99	96	
98	9	Fa5	F5	340	340	1	8	227	99	96	
99	9	Fa5	F5	340	340	1	8	227	99	96	
100	9	Fa5	F5	340	340	1	16	114	99	96	
101	9	Mi5	E5	336	336	1	16	114	99	96	
102	9	Fa5	F5	340	340	1	4	455	95	96	
102.5	53										
103	9	Do5	C5	318	318	1	8	227	99	96	
104	9	Fa5	F5	340	340	1	8	227	99	96	
105	9	Fa5	F5	340	340	1	8	227	99	96	
106	9	Fa5	F5	340	340	1	16	114	99	96	
107	9	Mi5	E5	336	336	1	16	114	99	96	
108	9	Mi5	E5	336	336	3	16	341	99	96	
109	9	Re5	D5	327	327	1	16	114	95	96	
110	9	La5	A5	358	358	1	16	114	99	96	
111	9	Sol5	G5	349	349	1	16	114	95	96	
112	9	Fa5	F5	340	340	1	16	114	99	96	
113	9	Mi5	E5	336	336	1	16	114	95	96	
114	9	Mi5	E5	336	336	3	16	341	99	96	
115	9	Re5	D5	327	327	1	16	114	99	96	
116	9	Re5	D5	327	327	1	16	114	99	96	
117	9	Do5	C5	318	318	1	16	114	99	96	
118	9	Do5	C5	318	318	1	16	114	99	96	
119	9	Re5	D5	327	327	1	16	114	99	96	
120	9	Mi5	E5	336	336	3	16	341	99	96	
121	9	Re5	D5	327	327	1	16	114	95	96	
121.5	53										
122	9	Re5	D5	327	327	1	16	114	99	96	
123	9	Do5	C5	318	318	1	16	114	99	96	
124	9	Do5	C5	318	318	1	16	114	99	96	
125	9	Re5	D5	327	327	1	16	114	99	96	
126	9	Mi5	E5	336	336	3	16	341	99	96	
127	9	Re5	D5	327	327	1	16	114	99	96	
128	9	Re5	D5	327	327	1	16	114	99	96	
129	9	Do5	C5	318	318	1	16	114	99	96	
130	9	Do5	C5	318	318	1	16	114	99	96	
131	9	Re5	D5	327	327	1	16	114	99	96	
132	9	Mi5	E5	336	336	1	16	114	99	96	
133	9	Fa5	F5	340	340	1	16	114	99	96	
134	9	Sol5	G5	349	349	1	16	114	99	96	
135	9	La5	A5	358	358	1	16	114	99	96	
136	9	Sol5	G5	349	349	1	16	114	99	96	
