Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	MS	LNS	VelOn	Soz1
1	9	La4	A4	305	305	1	4	488	95	96	
2	9	Sol4	G4	296	296	1	4	488	95	96	
3	9	La4	A4	305	305	1	8	244	95	96	
4	9	Si4b1	B4b1	313	313	1	8	244	95	96	
5	9	Do5	C5	318	318	1	8	244	95	96	
6	9	Re5	D5	327	327	1	4	488	95	96	
6.5	53										
7	9	Fa5	F5	340	340	1	16	122	95	96	
8	9	Mi5	E5	336	336	1	16	122	95	96	
9	9	Fa5	F5	340	340	1	16	122	95	96	
10	9	Sol5	G5	349	349	1	16	122	95	96	
11	9	Mi5	E5	336	336	1	8	244	95	96	
12	9	Re5	D5	327	327	1	8	244	95	96	
13	9	Do5	C5	318	318	1	8	244	95	96	
14	9	Si4b1	B4b1	313	313	1	8	244	95	96	
15	9	Fa5	F5	340	340	1	16	122	95	96	
16	9	Mi5	E5	336	336	1	16	122	95	96	
17	9	Re5	D5	327	327	1	8	244	95	96	
18	9	Do5	C5	318	318	1	16	122	95	96	
19	9	Si4b1	B4b1	313	313	1	16	122	95	96	
20	9	La4	A4	305	305	1	4	488	95	96	
21	9	Sol4	G4	296	296	1	4	488	95	96	
22	9	La4	A4	305	305	1	8	244	95	96	
23	9	Si4b1	B4b1	313	313	1	8	244	95	96	
24	9	Do5	C5	318	318	1	8	244	95	96	
25	9	Re5	D5	327	327	1	4	488	95	96	
25.5	53										
26	9	Fa5	F5	340	340	1	16	122	95	96	
27	9	Mi5	E5	336	336	1	16	122	95	96	
28	9	Fa5	F5	340	340	1	16	122	95	96	
29	9	Sol5	G5	349	349	1	16	122	95	96	
30	9	Mi5	E5	336	336	1	8	244	95	96	
31	9	Re5	D5	327	327	1	8	244	95	96	
32	9	Do5	C5	318	318	1	8	244	95	96	
33	9	Si4b1	B4b1	313	313	1	8	244	95	96	
34	9	Fa5	F5	340	340	1	16	122	95	96	
35	9	Mi5	E5	336	336	1	16	122	95	96	
36	9	Re5	D5	327	327	1	8	244	95	96	
37	9	Do5	C5	318	318	1	16	122	95	96	
38	9	Si4b1	B4b1	313	313	1	16	122	95	96	
39	9	La4	A4	305	305	1	4	488	95	96	
39.5	53										
40	9	Si4b1	B4b1	313	313	1	8	244	95	96	
41	9	Do5	C5	318	318	1	8	244	95	96	
42	9	Re5	D5	327	327	1	4	488	95	96	
43	9	Re5	D5	327	327	3	8	732	95	96	
43.5	53										
44	9	Mi5	E5	336	336	1	8	244	95	96	
45	9	Fa5	F5	340	340	1	16	122	95	96	
46	9	Sol5	G5	349	349	1	16	122	95	96	
47	9	Mi5	E5	336	336	1	8	244	95	96	
48	9	Re5	D5	327	327	1	8	244	95	96	
49	9	Do5	C5	318	318	1	8	244	95	96	
50	9	Si4b1	B4b1	313	313	1	8	244	95	96	
51	9	La4	A4	305	305	1	4	488	95	96	
52	9	Sol4	G4	296	296	1	8	244	95	96	
52.5	53										
53	9	Do5	C5	318	318	1	4	488	95	96	
54	9	Si4b1	B4b1	313	313	1	8	244	95	96	
55	9	Re5	D5	327	327	1	8	244	95	96	
56	9	Do5	C5	318	318	1	8	244	95	96	
57	9	Si4b1	B4b1	313	313	1	8	244	95	96	
58	9	Si4b1	B4b1	313	313	1	4	488	95	96	
59	9	Si4b1	B4b1	313	313	1	16	122	95	96	
60	9	La4	A4	305	305	1	16	122	95	96	
61	9	La4	A4	305	305	3	8	732	95	96	
61.5	53										
62	9	Do5	C5	318	318	1	16	122	95	96	
63	9	Si4b1	B4b1	313	313	1	16	122	95	96	
64	9	Si4b1	B4b1	313	313	1	16	122	95	96	
65	9	La4	A4	305	305	1	16	122	95	96	
66	9	La4	A4	305	305	1	16	122	95	96	
67	9	Sol4	G4	296	296	1	16	122	95	96	
68	9	La4	A4	305	305	1	16	122	95	96	
69	9	Si4b1	B4b1	313	313	1	16	122	95	96	
70	9	Do5	C5	318	318	1	16	122	95	96	
71	9	La4	A4	305	305	1	16	122	95	96	
72	9	Si4b1	B4b1	313	313	1	16	122	95	96	
73	9	Sol4	G4	296	296	1	16	122	95	96	
74	9	La4	A4	305	305	1	4	488	95	96	
74.5	53										
75	9	Sol4	G4	296	296	1	4	488	95	96	
76	9	La4	A4	305	305	1	8	244	95	96	
77	9	Si4b1	B4b1	313	313	1	8	244	95	96	
78	9	Do5	C5	318	318	1	8	244	95	96	
79	9	Re5	D5	327	327	1	4	488	95	96	
79.5	53										
80	9	Fa5	F5	340	340	1	16	122	95	96	
81	9	Mi5	E5	336	336	1	16	122	95	96	
82	9	Fa5	F5	340	340	1	16	122	95	96	
83	9	Sol5	G5	349	349	1	16	122	95	96	
84	9	Mi5	E5	336	336	1	8	244	95	96	
85	9	Re5	D5	327	327	1	8	244	95	96	
86	9	Do5	C5	318	318	1	8	244	95	96	
87	9	Si4b1	B4b1	313	313	1	8	244	95	96	
88	9	Fa5	F5	340	340	1	16	122	95	96	
89	9	Mi5	E5	336	336	1	16	122	95	96	
90	9	Re5	D5	327	327	1	8	244	95	96	
91	9	Do5	C5	318	318	1	16	122	95	96	
92	9	Si4b1	B4b1	313	313	1	16	122	95	96	
93	9	La4	A4	305	305	1	4	488	95	96	
93.5	53										
94	9	Sol4	G4	296	296	1	4	488	95	96	
95	9	La4	A4	305	305	1	8	244	95	96	
96	9	Si4b1	B4b1	313	313	1	8	244	95	96	
97	9	Do5	C5	318	318	1	8	244	95	96	
98	9	Re5	D5	327	327	1	4	488	95	96	
98.5	53										
99	9	Fa5	F5	340	340	1	16	122	95	96	
100	9	Mi5	E5	336	336	1	16	122	95	96	
101	9	Fa5	F5	340	340	1	16	122	95	96	
102	9	Sol5	G5	349	349	1	16	122	95	96	
103	9	Mi5	E5	336	336	1	8	244	95	96	
104	9	Re5	D5	327	327	1	8	244	95	96	
105	9	Do5	C5	318	318	1	8	244	95	96	
106	9	Si4b1	B4b1	313	313	1	8	244	95	96	
107	9	Fa5	F5	340	340	1	16	122	95	96	
108	9	Mi5	E5	336	336	1	16	122	95	96	
109	9	Re5	D5	327	327	1	8	244	95	96	
110	9	Do5	C5	318	318	1	16	122	95	96	
111	9	Si4b1	B4b1	313	313	1	16	122	95	96	
112	9	La4	A4	305	305	1	4	488	95	96	
112.5	53										
113	9	Si4b1	B4b1	313	313	1	8	244	95	96	
114	9	Do5	C5	318	318	1	8	244	95	96	
115	9	Re5	D5	327	327	1	4	488	95	96	
116	9	Re5	D5	327	327	3	8	732	95	96	
116.5	53										
117	9	Mi5	E5	336	336	1	8	244	95	96	
118	9	Fa5	F5	340	340	1	16	122	95	96	
119	9	Sol5	G5	349	349	1	16	122	95	96	
120	9	Mi5	E5	336	336	1	8	244	95	96	
121	9	Re5	D5	327	327	1	8	244	95	96	
122	9	Do5	C5	318	318	1	8	244	95	96	
123	9	Si4b1	B4b1	313	313	1	8	244	95	96	
124	9	La4	A4	305	305	1	4	488	95	96	
125	9	Sol4	G4	296	296	1	8	244	95	96	
125.5	53										
126	9	Do5	C5	318	318	1	4	488	95	96	
127	9	Si4b1	B4b1	313	313	1	8	244	95	96	
128	9	Re5	D5	327	327	1	8	244	95	96	
129	9	Do5	C5	318	318	1	8	244	95	96	
130	9	Si4b1	B4b1	313	313	1	8	244	95	96	
131	9	Si4b1	B4b1	313	313	1	4	488	95	96	
132	9	Si4b1	B4b1	313	313	1	16	122	95	96	
133	9	La4	A4	305	305	1	16	122	95	96	
134	9	La4	A4	305	305	1	4	488	95	96	
134.5	53										
135	9	La4	A4	305	305	1	16	122	95	96	
136	9	Sol5	G5	349	349	1	16	122	95	96	
137	9	Fa5	F5	340	340	1	16	122	95	96	
138	9	Mi5	E5	336	336	1	16	122	95	96	
139	9	Mi5	E5	336	336	1	16	122	95	96	
