Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	MS	LNS	VelOn	Soz1
1	9	La4	A4	305	305	1	4	500	95	96	
2	9	Sol4	G4	296	296	1	8	250	95	96	
3	9	La4	A4	305	305	1	4	500	95	96	
4	9	La4	A4	305	305	1	4	500	95	96	
5	9	Do5	C5	318	318	1	8	250	95	96	
6	9	Si4b1	B4b1	313	313	1	16	125	95	96	
7	9	La4	A4	305	305	1	16	125	95	96	
8	9	La4	A4	305	305	1	4	500	95	96	
9	9	La4	A4	305	305	1	4	500	95	96	
9.5	53										
10	9	Si4b1	B4b1	313	313	1	4	500	95	96	
11	9	La4	A4	305	305	1	8	250	95	96	
12	9	La4	A4	305	305	1	4	500	95	96	
13	9	Sol4	G4	296	296	1	16	125	95	96	
14	9	Fa4#4	F4#4	291	291	1	16	125	95	96	
15	9	Sol4	G4	296	296	1	16	125	95	96	
16	9	La4	A4	305	305	1	16	125	95	96	
17	9	Sol4	G4	296	296	1	8	250	95	96	
18	9	Fa4#4	F4#4	291	291	1	8	250	95	96	
19	9	Fa4#4	F4#4	291	291	1	16	125	95	96	
20	9	Sol4	G4	296	296	1	16	125	95	96	
21	9	Fa4#4	F4#4	291	291	1	16	125	95	96	
22	9	Mi4	E4	283	283	1	16	125	95	96	
23	9	Re4	D4	274	274	1	8	250	95	96	
24	9	La4	A4	305	305	1	8	250	95	96	
25	9	Sol4	G4	296	296	1	16	125	95	96	
26	9	La4	A4	305	305	1	16	125	95	96	
27	9	Sol4	G4	296	296	1	16	125	95	96	
28	9	Fa4#4	F4#4	291	291	1	16	125	95	96	
29	9	Sol4	G4	296	296	1	8	250	95	96	
29.5	53										
30	9	La4	A4	305	305	1	8	250	95	96	
31	9	Sol4	G4	296	296	1	16	125	95	96	
32	9	La4	A4	305	305	1	16	125	95	96	
33	9	La4	A4	305	305	1	4	500	95	96	
34	9	La4	A4	305	305	1	4	500	95	96	
35	9	La4	A4	305	305	1	16	125	95	96	
36	9	Si4b1	B4b1	313	313	1	16	125	95	96	
37	9	La4	A4	305	305	1	16	125	95	96	
38	9	Sol4	G4	296	296	1	16	125	95	96	
39	9	La4	A4	305	305	1	8	250	95	96	
40	9	Si4b1	B4b1	313	313	1	8	250	95	96	
41	9	La4	A4	305	305	1	8	250	95	96	
42	9	Do5	C5	318	318	1	8	250	95	96	
43	9	Do5	C5	318	318	1	8	250	95	96	
44	9	Do5	C5	318	318	1	8	250	95	96	
45	9	Si4b1	B4b1	313	313	1	8	250	95	96	
46	9	Do5	C5	318	318	1	16	125	95	96	
47	9	Si4b1	B4b1	313	313	1	16	125	95	96	
48	9	Do5	C5	318	318	1	16	125	95	96	
49	9	Re5	D5	327	327	1	16	125	95	96	
50	9	Do5	C5	318	318	1	16	125	95	96	
51	9	Si4b1	B4b1	313	313	1	16	125	95	96	
52	9	Si4b1	B4b1	313	313	1	16	125	95	96	
53	9	La4	A4	305	305	1	16	125	95	96	
54	9	La4	A4	305	305	1	4	500	95	96	
55	9	La4	A4	305	305	1	4	500	95	96	
55.5	53										
56	9	La4	A4	305	305	1	8	250	95	96	
57	9	Mi5	E5	336	336	1	8	250	95	96	
58	9	Mi5	E5	336	336	1	8	250	95	96	
59	9	Mi5	E5	336	336	3	16	375	95	96	
60	9	Re5	D5	327	327	1	16	125	95	96	
61	9	Do5	C5	318	318	1	8	250	95	96	
62	9	Re5	D5	327	327	1	8	250	95	96	
63	9	Do5	C5	318	318	1	8	250	95	96	
64	9	Si4b1	B4b1	313	313	1	8	250	95	96	
65	9	La4	A4	305	305	1	8	250	95	96	
66	9	Si4b1	B4b1	313	313	1	8	250	95	96	
67	9	Do5	C5	318	318	1	8	250	95	96	
68	9	Re5	D5	327	327	1	8	250	95	96	
69	9	Do5	C5	318	318	3	16	375	95	96	
70	9	Si4b1	B4b1	313	313	1	16	125	95	96	
71	9	Si4b1	B4b1	313	313	1	8	250	95	96	
71.5	53										
72	9	La4	A4	305	305	1	8	250	95	96	
73	9	Mi5	E5	336	336	1	8	250	95	96	
74	9	Fa5	F5	340	340	1	16	125	95	96	
75	9	Mi5	E5	336	336	1	16	125	95	96	
76	9	Re5	D5	327	327	1	16	125	95	96	
77	9	Mi5	E5	336	336	1	16	125	95	96	
78	9	Re5	D5	327	327	1	8	250	95	96	
79	9	Mi5	E5	336	336	1	8	250	95	96	
80	9	Mi5	E5	336	336	3	8	750	95	96	
81	9	Es	Es			1	8	250	95	96	
81.5	53										
82	9	Mi5	E5	336	336	1	8	250	95	96	
83	9	Re5	D5	327	327	1	16	125	95	96	
84	9	Do5	C5	318	318	1	16	125	95	96	
85	9	Re5	D5	327	327	1	8	250	95	96	
86	9	Mi5	E5	336	336	1	8	250	95	96	
87	9	Re5	D5	327	327	1	16	125	95	96	
88	9	Mi5	E5	336	336	1	16	125	95	96	
89	9	Mi5	E5	336	336	1	4	500	95	96	
90	9	Sol5	G5	349	349	1	8	250	95	96	
91	9	Fa5#4	F5#4	344	344	1	16	125	95	96	
92	9	Mi5	E5	336	336	1	16	125	95	96	
93	9	Mi5	E5	336	336	1	8	250	95	96	
94	9	Fa5#4	F5#4	344	344	1	16	125	95	96	
