Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Si4b1	B4b1	313	313	1	12	185	95	96	I.	0.1666667
2	9	Do5	C5	318	318	1	12	185	95	96		0.3333333
3	9	Re5	D5	327	327	1	12	185	95	96		0.5
4	9	Mi5b5	E5b5	331	331	3	16	417	95	96		0.875
5	9	Fa5	F5	340	340	1	16	139	95	96		1
6	9	Re5	D5	327	327	3	16	417	95	96		1.375
7	9	Do5	C5	318	318	1	16	139	95	96		1.5
8	9	Si4b1	B4b1	313	313	3	16	417	95	96		1.875
9	9	La4b5	A4b5	300	300	1	16	139	95	96		2
10	9	Sol4	G4	296	296	1	4	556	95	96		2.5
11	9	Do5	C5	318	318	1	12	185	95	96		2.666667
12	9	Si4b1	B4b1	313	313	1	12	185	95	96		2.833333
13	9	Do5	C5	318	318	1	12	185	95	96		3
14	9	Re5	D5	327	327	1	4	556	95	96		3.5
15	9	Sol5	G5	349	349	1	4	556	95	96		4
16	53			0	0	0	0	0	0	0		4
17	9	Si4b1	B4b1	313	313	1	12	185	95	96		4.166667
18	9	Do5	C5	318	318	1	12	185	95	96		4.333333
19	9	Re5	D5	327	327	1	12	185	95	96		4.5
20	9	Mi5b5	E5b5	331	331	3	16	417	95	96		4.875
21	9	Fa5	F5	340	340	1	16	139	95	96		5
22	9	Re5	D5	327	327	3	16	417	95	96		5.375
23	9	Do5	C5	318	318	1	16	139	95	96		5.5
24	9	Si4b1	B4b1	313	313	3	16	417	95	96		5.875
25	9	La4b5	A4b5	300	300	1	16	139	95	96		6
26	9	Si4b1	B4b1	313	313	1	12	185	95	96		6.166667
27	9	Do5	C5	318	318	1	12	185	95	96		6.333333
28	9	Re5	D5	327	327	1	12	185	95	96		6.5
29	9	Do5	C5	318	318	1	12	185	95	96		6.666667
30	9	Si4b1	B4b1	313	313	1	12	185	95	96		6.833333
31	9	La4b5	A4b5	300	300	1	12	185	95	96		7
32	9	Sol4	G4	296	296	1	4	556	95	96		7.5
33	9			-1	-1	1	4	556	100	0		8
34	53			0	0	0	0	0	0	0		8
35	9	Si4b1	B4b1	313	313	1	12	185	95	96	I.	8.166667
36	9	Do5	C5	318	318	1	12	185	95	96		8.333333
37	9	Re5	D5	327	327	1	12	185	95	96		8.5
38	9	Mi5b5	E5b5	331	331	3	16	417	95	96		8.875
39	9	Fa5	F5	340	340	1	16	139	95	96		9
40	9	Re5	D5	327	327	3	16	417	95	96		9.375
41	9	Do5	C5	318	318	1	16	139	95	96		9.5
42	9	Si4b1	B4b1	313	313	3	16	417	95	96		9.875
43	9	La4b5	A4b5	300	300	1	16	139	95	96		10
44	9	Sol4	G4	296	296	1	4	556	95	96		10.5
45	9	Do5	C5	318	318	1	12	185	95	96		10.66667
46	9	Si4b1	B4b1	313	313	1	12	185	95	96		10.83333
47	9	Do5	C5	318	318	1	12	185	95	96		11
48	9	Re5	D5	327	327	1	4	556	95	96		11.5
49	9	Sol5	G5	349	349	1	4	556	95	96		12
50	53			0	0	0	0	0	0	0		12
51	9	Si4b1	B4b1	313	313	1	12	185	95	96		12.16667
52	9	Do5	C5	318	318	1	12	185	95	96		12.33333
53	9	Re5	D5	327	327	1	12	185	95	96		12.5
54	9	Mi5b5	E5b5	331	331	3	16	417	95	96		12.875
55	9	Fa5	F5	340	340	1	16	139	95	96		13
56	9	Re5	D5	327	327	3	16	417	95	96		13.375
57	9	Do5	C5	318	318	1	16	139	95	96		13.5
58	9	Si4b1	B4b1	313	313	3	16	417	95	96		13.875
59	9	La4b5	A4b5	300	300	1	16	139	95	96		14
60	9	Si4b1	B4b1	313	313	1	12	185	95	96		14.16667
61	9	Do5	C5	318	318	1	12	185	95	96		14.33333
62	9	Re5	D5	327	327	1	12	185	95	96		14.5
63	9	Do5	C5	318	318	1	12	185	95	96		14.66667
64	9	Si4b1	B4b1	313	313	1	12	185	95	96		14.83333
65	9	La4b5	A4b5	300	300	1	12	185	95	96		15
66	9	Sol4	G4	296	296	1	4	556	95	96		15.5
67	9			-1	-1	1	4	556	100	0		16
68	53			0	0	0	0	0	0	0		16
69	9	Do5	C5	318	318	1	12	185	95	96		16.16667
70	9	Re5	D5	327	327	1	12	185	95	96		16.33333
71	9	Re5	D5	327	327	1	12	185	95	96		16.5
72	9	Re5	D5	327	327	1	12	185	95	96		16.66667
73	9	Re5	D5	327	327	1	12	185	95	96		16.83333
74	9	Re5	D5	327	327	1	12	185	95	96		17
75	9	Re5	D5	327	327	1	12	185	95	96		17.16667
76	9	Re5	D5	327	327	1	12	185	95	96		17.33333
77	9	Re5	D5	327	327	1	12	185	95	96		17.5
78	9	Re5	D5	327	327	1	12	185	95	96		17.66667
79	9	Re5	D5	327	327	1	12	185	95	96		17.83333
80	9	Do5	C5	318	318	1	12	185	95	96		18
81	9	Mi5b5	E5b5	331	331	1	12	185	95	96		18.16667
82	9	Re5	D5	327	327	1	12	185	95	96		18.33333
83	9	Do5	C5	318	318	1	12	185	95	96		18.5
84	9	Do5	C5	318	318	1	12	185	95	96		18.66667
85	9	Si4b5	B4b5	309	309	1	12	185	95	96		18.83333
86	9	Re5	D5	327	327	1	12	185	95	96		19
87	9	Do5	C5	318	318	1	4	556	95	96		19.5
88	9			-1	-1	1	4	556	100	0		20
89	53			0	0	0	0	0	0	0		20
90	9	Si4b5	B4b5	309	309	1	12	185	95	96		20.16667
91	9	Do5	C5	318	318	1	12	185	95	96		20.33333
92	9	Re5	D5	327	327	1	12	185	95	96		20.5
93	9	Mi5b5	E5b5	331	331	1	12	185	95	96		20.66667
94	9	Fa5	F5	340	340	1	12	185	95	96		20.83333
95	9	Sol5	G5	349	349	1	12	185	95	96		21
96	9	La5b5	A5b5	353	353	1	12	185	95	96		21.16667
97	9	Sol5	G5	349	349	1	12	185	95	96		21.33333
98	9	Fa5	F5	340	340	1	12	185	95	96		21.5
99	9	Mi5b5	E5b5	331	331	1	12	185	95	96		21.66667
100	9	Re5	D5	327	327	1	12	185	95	96		21.83333
101	9	Do5	C5	318	318	1	12	185	95	96		22
102	9	Si4b5	B4b5	309	309	3	16	417	95	96		22.375
103	9	La4b5	A4b5	300	300	1	16	139	95	96		22.5
104	9	La4b5	A4b5	300	300	3	16	417	95	96		22.875
105	9	Sol4	G4	296	296	1	16	139	95	96		23
106	9	Sol4	G4	296	296	1	4	556	95	96		23.5
107	9			-1	-1	1	4	556	100	0		24
108	53			0	0	0	0	0	0	0		24
109	9	Do5	C5	318	318	1	12	185	95	96		24.16667
110	9	Re5	D5	327	327	1	12	185	95	96		24.33333
111	9	Re5	D5	327	327	1	12	185	95	96		24.5
112	9	Re5	D5	327	327	1	12	185	95	96		24.66667
113	9	Re5	D5	327	327	1	12	185	95	96		24.83333
114	9	Re5	D5	327	327	1	12	185	95	96		25
115	9	Re5	D5	327	327	1	12	185	95	96		25.16667
116	9	Re5	D5	327	327	1	12	185	95	96		25.33333
117	9	Re5	D5	327	327	1	12	185	95	96		25.5
118	9	Re5	D5	327	327	1	12	185	95	96		25.66667
119	9	Re5	D5	327	327	1	12	185	95	96		25.83333
120	9	Do5	C5	318	318	1	12	185	95	96		26
121	9	Mi5b5	E5b5	331	331	1	12	185	95	96		26.16667
122	9	Re5	D5	327	327	1	12	185	95	96		26.33333
123	9	Do5	C5	318	318	1	12	185	95	96		26.5
124	9	Do5	C5	318	318	1	12	185	95	96		26.66667
125	9	Si4b5	B4b5	309	309	1	12	185	95	96		26.83333
126	9	Re5	D5	327	327	1	12	185	95	96		27
127	9	Do5	C5	318	318	1	4	556	95	96		27.5
128	9			-1	-1	1	4	556	100	0		28
129	53			0	0	0	0	0	0	0		28
130	9	Si4b5	B4b5	309	309	1	12	185	95	96		28.16667
131	9	Do5	C5	318	318	1	12	185	95	96		28.33333
132	9	Re5	D5	327	327	1	12	185	95	96		28.5
133	9	Mi5b5	E5b5	331	331	1	12	185	95	96		28.66667
134	9	Fa5	F5	340	340	1	12	185	95	96		28.83333
135	9	Sol5	G5	349	349	1	12	185	95	96		29
136	9	La5b5	A5b5	353	353	1	12	185	95	96		29.16667
137	9	Sol5	G5	349	349	1	12	185	95	96		29.33333
138	9	Fa5	F5	340	340	1	12	185	95	96		29.5
139	9	Mi5b5	E5b5	331	331	1	12	185	95	96		29.66667
140	9	Re5	D5	327	327	1	12	185	95	96		29.83333
141	9	Do5	C5	318	318	1	12	185	95	96		30
142	9	Si4b5	B4b5	309	309	3	16	417	95	96		30.375
143	9	La4b5	A4b5	300	300	1	16	139	95	96		30.5
144	9	La4b5	A4b5	300	300	3	16	417	95	96		30.875
145	9	Sol4	G4	296	296	1	16	139	95	96		31
146	9	Sol4	G4	296	296	1	4	556	95	96		31.5
147	9			-1	-1	1	4	556	100	0		32
148	53			0	0	0	0	0	0	0		32
149	9	La4b1	A4b1	304	304	1	12	185	95	96	II.	32.16667
150	9	Si4b5	B4b5	309	309	1	12	185	95	96		32.33333
151	9	Do5	C5	318	318	1	12	185	95	96		32.5
152	9	La4b1	A4b1	304	304	1	12	185	95	96		32.66667
153	9	Si4b5	B4b5	309	309	1	12	185	95	96		32.83333
154	9	Fa4	F4	287	287	1	12	185	95	96		33
155	9	La4b1	A4b1	304	304	1	12	185	95	96		33.16667
156	9	Si4b5	B4b5	309	309	1	12	185	95	96		33.33333
157	9	Do5	C5	318	318	1	12	185	95	96		33.5
158	9	La4b1	A4b1	304	304	1	12	185	95	96		33.66667
159	9	Si4b5	B4b5	309	309	1	12	185	95	96		33.83333
160	9	Fa4	F4	287	287	1	12	185	95	96		34
161	9	La4b1	A4b1	304	304	1	12	185	95	96		34.16667
162	9	Si4b5	B4b5	309	309	1	12	185	95	96		34.33333
163	9	Do5	C5	318	318	1	12	185	95	96		34.5
164	9	Re5b4	D5b4	323	323	1	12	185	95	96		34.66667
165	9	Do5	C5	318	318	1	12	185	95	96		34.83333
166	9	Si4b5	B4b5	309	309	1	12	185	95	96		35
167	9	Si4b5	B4b5	309	309	3	16	417	95	96		35.375
168	9	La4b1	A4b1	304	304	1	16	139	95	96		35.5
169	9	Si4b5	B4b5	309	309	1	4	556	95	96		36
170	53			0	0	0	0	0	0	0		36
171	9	Mi5b1	E5b1	335	335	1	12	185	95	96		36.16667
172	9	Fa5	F5	340	340	1	12	185	95	96		36.33333
173	9	Sol5	G5	349	349	1	12	185	95	96		36.5
174	9	La5b4	A5b4	354	354	1	12	185	95	96		36.66667
175	9	Sol5	G5	349	349	1	12	185	95	96		36.83333
176	9	Fa5	F5	340	340	1	12	185	95	96		37
177	9	Mi5b1	E5b1	335	335	3	16	417	95	96		37.375
178	9	Re5	D5	327	327	1	16	139	95	96		37.5
179	9	Do5	C5	318	318	3	16	417	95	96		37.875
180	9	Si4b5	B4b5	309	309	1	16	139	95	96		38
181	9	Si4b5	B4b5	309	309	3	16	417	95	96		38.375
182	9	La4b1	A4b1	304	304	1	16	139	95	96		38.5
183	9	La4b1	A4b1	304	304	3	16	417	95	96		38.875
184	9	Sol4	G4	296	296	1	16	139	95	96		39
185	9	Sol4	G4	296	296	1	4	556	95	96		39.5
186	9			-1	-1	1	4	556	100	0		40
187	53			0	0	0	0	0	0	0		40
188	9	La4b1	A4b1	304	304	1	12	185	95	96	II.	40.16667
189	9	Si4b5	B4b5	309	309	1	12	185	95	96		40.33333
190	9	Do5	C5	318	318	1	12	185	95	96		40.5
191	9	La4b1	A4b1	304	304	1	12	185	95	96		40.66667
192	9	Si4b5	B4b5	309	309	1	12	185	95	96		40.83333
193	9	Fa4	F4	287	287	1	12	185	95	96		41
194	9	La4b1	A4b1	304	304	1	12	185	95	96		41.16667
195	9	Si4b5	B4b5	309	309	1	12	185	95	96		41.33333
