Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol5	G5	349	349	1	8	417	95	96	Bir_	0.125
2	9	Sol5	G5	349	349	1	4	833	95	96	ih	0.375
3	9	Fa5	F5	340	340	1	8	417	95	96	ti	0.5
4	9	Mi5b5	E5b5	331	331	1	8	417	99	96	mal 	0.625
5	9	Re5	D5	327	327	1	8	417	95	96		0.75
6	9	Fa5	F5	340	340	1	8	417	95	96	da	0.875
7	9	Mi5b5	E5b5	331	331	1	16	208	99	96	ha 	0.9375
8	9	Re5	D5	327	327	1	16	208	95	96		1
9	9	Re5	D5	327	327	3	8	1250	95	96	var 	1.375
10	9	Re5	D5	327	327	1	16	208	95	96	SAZ	1.4375
11	9	Mi5b5	E5b5	331	331	1	16	208	95	96	.	1.5
12	9	Re5	D5	327	327	1	16	208	95	96	.	1.5625
13	9	Do5	C5	318	318	1	16	208	95	96	.	1.625
14	9	Si4b5	B4b5	309	309	1	16	208	95	96	.	1.6875
15	9	Do5	C5	318	318	1	16	208	95	96	.	1.75
16	9	Re5	D5	327	327	1	4	833	95	96	.	2
17	53			0	0	0	0	0	0	0		2
18	9			-1	-1	1	4	833	100	0		2.25
19	9	La4	A4	305	305	1	8	417	95	96	o 	2.375
20	9	Si4b5	B4b5	309	309	1	8	417	95	96	da 	2.5
21	9	Do5	C5	318	318	1	4	833	95	96	öl	2.75
22	8	Mi5b5	E5b5	331	331	0	0	0	95	96		2.75
23	9	Re5	D5	327	327	1	4	833	95	96	mek 	3
24	9	La4	A4	305	305	1	8	417	95	96	mi 	3.125
25	9	Si4b5	B4b5	309	309	1	16	208	99	96	der	3.1875
26	9	La4	A4	305	305	1	16	208	99	96		3.25
27	9	Sol4	G4	296	296	1	8	417	99	96		3.375
28	8	La4	A4	305	305	0	0	0	99	96		3.375
29	9	Sol4	G4	296	296	1	16	208	99	96		3.4375
30	9	Fa4#4	F4#4	291	291	1	16	208	95	96		3.5
31	9	Sol4	G4	296	296	1	2	1667	95	96	sin  	4
32	53			0	0	0	0	0	0	0		4
33	9			-1	-1	1	8	417	100	0		4.125
34	9	Sol5	G5	349	349	1	4	833	95	96	Söy	4.375
35	9	Sol5	G5	349	349	1	16	208	99	96	le 	4.4375
36	9	Fa5	F5	340	340	1	16	208	95	96		4.5
37	9	Mi5b5	E5b5	331	331	1	8	417	99	96	ca	4.625
38	8	Fa5	F5	340	340	0	0	0	99	96		4.625
39	9	Mi5b5	E5b5	331	331	1	16	208	99	96		4.6875
40	9	Re5	D5	327	327	1	16	208	95	96		4.75
41	9	Do5	C5	318	318	1	16	208	99	96	ným 	4.8125
42	9	Si4b5	B4b5	309	309	1	16	208	99	96		4.875
43	9	Do5	C5	318	318	1	8	417	95	96		5
44	9	Fa5	F5	340	340	1	8	417	95	96	ne 	5.125
45	9	Fa5	F5	340	340	1	16	208	99	96	der	5.1875
46	9	Mi5b5	E5b5	331	331	1	16	208	99	96		5.25
47	9	Mi5b5	E5b5	331	331	1	8	417	99	96		5.375
48	9	Mi5b5	E5b5	331	331	1	16	208	99	96		5.4375
49	9	Re5	D5	327	327	1	16	208	95	96		5.5
50	9	Re5	D5	327	327	1	2	1667	95	96	sin  	6
51	53			0	0	0	0	0	0	0		6
52	9			-1	-1	1	8	417	100	0		6.125
53	9	Sol5	G5	349	349	1	4	833	95	96	SAZ	6.375
54	9	Sol5	G5	349	349	1	16	208	95	96	.	6.4375
55	9	Fa5	F5	340	340	1	16	208	95	96	.	6.5
56	9	Fa5	F5	340	340	1	8	417	95	96	.	6.625
57	9	Fa5	F5	340	340	1	16	208	95	96	.	6.6875
58	9	Mi5b5	E5b5	331	331	1	16	208	95	96	.	6.75
59	9	Mi5b5	E5b5	331	331	1	8	417	95	96	.	6.875
60	9	Mi5b5	E5b5	331	331	1	16	208	95	96	.	6.9375
61	9	Re5	D5	327	327	1	16	208	95	96	.	7
62	9	Re5	D5	327	327	1	8	417	95	96	.	7.125
63	9	Re5	D5	327	327	1	16	208	95	96	.	7.1875
64	9	Mi5b5	E5b5	331	331	1	16	208	95	96	.	7.25
65	9	Re5	D5	327	327	1	16	208	95	96	.	7.3125
66	9	Mi5b5	E5b5	331	331	1	16	208	95	96	.	7.375
67	9	Re5	D5	327	327	1	16	208	95	96	.	7.4375
68	9	Do5	C5	318	318	1	16	208	95	96	.	7.5
69	9	Re5	D5	327	327	1	16	208	95	96	.	7.5625
70	9	Do5	C5	318	318	1	16	208	95	96	.	7.625
71	9	Si4b5	B4b5	309	309	1	16	208	95	96	.	7.6875
72	9	La4	A4	305	305	1	16	208	95	96	.	7.75
73	9	Sol4	G4	296	296	1	4	833	95	96	.	8
74	53			0	0	0	0	0	0	0		8
75	9	Sol5	G5	349	349	1	8	417	95	96	Bir_	8.125
76	9	Sol5	G5	349	349	1	4	833	95	96	ih	8.375
77	9	Fa5	F5	340	340	1	8	417	95	96	ti	8.5
78	9	Mi5b5	E5b5	331	331	1	8	417	99	96	mal 	8.625
79	9	Re5	D5	327	327	1	8	417	95	96		8.75
80	9	Fa5	F5	340	340	1	8	417	95	96	da	8.875
81	9	Mi5b5	E5b5	331	331	1	16	208	99	96	ha 	8.9375
82	9	Re5	D5	327	327	1	16	208	95	96		9
83	9	Re5	D5	327	327	3	8	1250	95	96	var 	9.375
84	9	Re5	D5	327	327	1	16	208	95	96	SAZ	9.4375
85	9	Mi5b5	E5b5	331	331	1	16	208	95	96	.	9.5
86	9	Re5	D5	327	327	1	16	208	95	96	.	9.5625
87	9	Do5	C5	318	318	1	16	208	95	96	.	9.625
88	9	Si4b5	B4b5	309	309	1	16	208	95	96	.	9.6875
89	9	Do5	C5	318	318	1	16	208	95	96	.	9.75
90	9	Re5	D5	327	327	1	4	833	95	96	.	10
91	53			0	0	0	0	0	0	0		10
92	9			-1	-1	1	4	833	100	0		10.25
93	9	La4	A4	305	305	1	8	417	95	96	o 	10.375
94	9	Si4b5	B4b5	309	309	1	8	417	95	96	da 	10.5
95	9	Do5	C5	318	318	1	4	833	95	96	öl	10.75
96	8	Mi5b5	E5b5	331	331	0	0	0	95	96		10.75
97	9	Re5	D5	327	327	1	4	833	95	96	mek 	11
98	9	La4	A4	305	305	1	8	417	95	96	mi 	11.125
99	9	Si4b5	B4b5	309	309	1	16	208	99	96	der	11.1875
100	9	La4	A4	305	305	1	16	208	99	96		11.25
101	9	Sol4	G4	296	296	1	8	417	99	96		11.375
102	8	La4	A4	305	305	0	0	0	99	96		11.375
103	9	Sol4	G4	296	296	1	16	208	99	96		11.4375
104	9	Fa4#4	F4#4	291	291	1	16	208	95	96		11.5
105	9	Sol4	G4	296	296	1	2	1667	95	96	sin  	12
106	53			0	0	0	0	0	0	0		12
107	9			-1	-1	1	8	417	100	0		12.125
108	9	Sol5	G5	349	349	1	4	833	95	96	Söy	12.375
109	9	Sol5	G5	349	349	1	16	208	99	96	le 	12.4375
110	9	Fa5	F5	340	340	1	16	208	95	96		12.5
111	9	Mi5b5	E5b5	331	331	1	8	417	99	96	ca	12.625
112	8	Fa5	F5	340	340	0	0	0	99	96		12.625
113	9	Mi5b5	E5b5	331	331	1	16	208	99	96		12.6875
114	9	Re5	D5	327	327	1	16	208	95	96		12.75
115	9	Do5	C5	318	318	1	16	208	99	96	ným 	12.8125
116	9	Si4b5	B4b5	309	309	1	16	208	99	96		12.875
117	9	Do5	C5	318	318	1	8	417	95	96		13
