Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Re5	D5	327	327	1	4	455	95	96	ARANAĞME	0.3333333
2	10	Re5	D5	327	327	1	4	455	95	96	.	0.6666667
3	8	Mi5	E5	336	336	0	0	0	95	96	.	0.6666667
4	9	Re5	D5	327	327	1	8	227	95	96	.	0.8333333
5	9	Mi5	E5	336	336	1	8	227	95	96	.	1
6	9	Do5	C5	318	318	1	4	455	95	96	.	1.333333
7	10	Do5	C5	318	318	1	4	455	95	96	.	1.666667
8	8	Re5	D5	327	327	0	0	0	95	96	.	1.666667
9	9	Do5	C5	318	318	1	8	227	95	96	.	1.833333
10	9	Re5	D5	327	327	1	8	227	95	96	.	2
11	9	Si4b1	B4b1	313	313	1	4	455	95	96	.	2.333333
12	10	Si4b1	B4b1	313	313	1	4	455	95	96	.	2.666667
13	8	Do5	C5	318	318	0	0	0	95	96	.	2.666667
14	9	Si4b1	B4b1	313	313	1	8	227	95	96	.	2.833333
15	9	Do5	C5	318	318	1	8	227	95	96	.	3
16	9	La4	A4	305	305	1	4	455	95	96	.	3.333333
17	9	La4	A4	305	305	1	8	227	95	96	.	3.5
18	9	Si4b1	B4b1	313	313	1	8	227	95	96	.	3.666667
19	9	Sol4	G4	296	296	1	4	455	95	96	.	4
20	9	Si4b1	B4b1	313	313	1	2	909	95	96	.	4.666667
21	9	La4	A4	305	305	1	4	455	95	96	.	5
22	9	Si4b1	B4b1	313	313	1	4	455	95	96	.	5.333333
23	9	La4	A4	305	305	1	4	455	95	96	.	5.666667
24	9	Sol4	G4	296	296	1	4	455	95	96	.	6
25	53			0	0	0	0	0	0	0		6
26	9	Sol4	G4	296	296	1	4	455	95	96	.	6.333333
27	9	La4	A4	305	305	1	4	455	95	96	.	6.666667
28	9	Si4b1	B4b1	313	313	1	4	455	95	96	.	7
29	9	Do5	C5	318	318	1	4	455	95	96	.	7.333333
30	9	Re5	D5	327	327	1	2	909	95	96	.	8
31	9	Re5	D5	327	327	1	4	455	95	96	ARANAĞME	8.333333
32	10	Re5	D5	327	327	1	4	455	95	96	.	8.666667
33	8	Mi5	E5	336	336	0	0	0	95	96	.	8.666667
34	9	Re5	D5	327	327	1	8	227	95	96	.	8.833333
35	9	Mi5	E5	336	336	1	8	227	95	96	.	9
36	9	Do5	C5	318	318	1	4	455	95	96	.	9.333333
37	10	Do5	C5	318	318	1	4	455	95	96	.	9.666667
38	8	Re5	D5	327	327	0	0	0	95	96	.	9.666667
39	9	Do5	C5	318	318	1	8	227	95	96	.	9.833333
40	9	Re5	D5	327	327	1	8	227	95	96	.	10
41	9	Si4b1	B4b1	313	313	1	4	455	95	96	.	10.33333
42	10	Si4b1	B4b1	313	313	1	4	455	95	96	.	10.66667
43	8	Do5	C5	318	318	0	0	0	95	96	.	10.66667
44	9	Si4b1	B4b1	313	313	1	8	227	95	96	.	10.83333
45	9	Do5	C5	318	318	1	8	227	95	96	.	11
46	9	La4	A4	305	305	1	4	455	95	96	.	11.33333
47	9	La4	A4	305	305	1	8	227	95	96	.	11.5
48	9	Si4b1	B4b1	313	313	1	8	227	95	96	.	11.66667
49	9	Sol4	G4	296	296	1	4	455	95	96	.	12
50	9	Si4b1	B4b1	313	313	1	2	909	95	96	.	12.66667
51	9	La4	A4	305	305	1	4	455	95	96	.	13
52	9	Si4b1	B4b1	313	313	1	4	455	95	96	.	13.33333
53	9	La4	A4	305	305	1	4	455	95	96	.	13.66667
54	9	Sol4	G4	296	296	1	4	455	95	96	.	14
55	9	Sol4	G4	296	296	1	4	455	95	96	.	14.33333
56	53			0	0	0	0	0	0	0		14.33333
57	9	Si4b1	B4b1	313	313	1	4	455	95	96	.	14.66667
58	9	Re5	D5	327	327	1	4	455	95	96	.	15
59	9	Sol4	G4	296	296	3	4	1364	95	96	.	16
60	9	Sol4	G4	296	296	1	4	455	95	96	Gül_	16.33333
61	9	Re5	D5	327	327	1	2	909	95	96	a	17
62	9	Re5	D5	327	327	1	4	455	99	96	ğa	17.33333
63	9	Re5	D5	327	327	1	8	227	95	96		17.5
64	9	Do5	C5	318	318	1	8	227	99	96	cı 	17.66667
65	9	Do5	C5	318	318	1	8	227	99	96		17.83333
66	9	Si4b1	B4b1	313	313	1	8	227	95	96		18
67	9	Do5	C5	318	318	1	4	455	95	96	de	18.33333
68	9	Do5	C5	318	318	1	8	227	99	96	ği	18.5
69	9	Si4b1	B4b1	313	313	1	8	227	99	96		18.66667
70	9	Si4b1	B4b1	313	313	1	8	227	99	96		18.83333
71	11	La4	A4	305	305	1	8	227	95	96		19
72	9	La4	A4	305	305	3	4	1364	95	96	lem  	20
73	9	Si4b1	B4b1	313	313	1	8	227	99	96	Her 	20.16667
74	9	La4	A4	305	305	1	8	227	95	96		20.33333
75	9	Sol4	G4	296	296	1	2	909	95	96	ge	21
76	9	Fa4#4	F4#4	291	291	1	8	227	99	96	le	21.16667
77	9	Sol4	G4	296	296	1	8	227	95	96		21.33333
78	9	La4	A4	305	305	1	2	909	95	96	ne 	22
79	9	Sol4	G4	296	296	1	8	227	99	96	e	22.16667
80	9	La4	A4	305	305	1	8	227	95	96		22.33333
81	9	Si4b1	B4b1	313	313	1	2	909	95	96	ği	23
82	9	Si4b1	B4b1	313	313	1	8	227	99	96	lem  	23.16667
83	9	La4	A4	305	305	1	8	227	99	96		23.33333
84	9	Sol4	G4	296	296	1	2	909	95	96		24
85	8	Do5	C5	318	318	0	4	0	95	96		24
86	9	Re5	D5	327	327	1	4	455	95	96	Çek_	24.33333
