Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Si4b2	B4b1	312	313	1	8	294	95	96	ARANAĞME 	0.1111111
2	9	Si4b2	B4b1	312	313	1	4	588	95	96	.	0.3333333
3	9	Si4b2	B4b1	312	313	1	8	294	95	96	.	0.4444444
4	9	Re5b3	D5b4	324	323	1	4	588	95	96	.	0.6666667
5	9	Do5	C5	318	318	1	4	588	95	96	.	0.8888889
6	9	Si4b2	B4b1	312	313	1	8	294	95	96	.	1
7	9	Do5	C5	318	318	1	4	588	95	96	.	1.222222
8	9	Si4b2	B4b1	312	313	1	8	294	95	96	.	1.333333
9	9	La4	A4	305	305	1	8	294	95	96	.	1.444444
10	9	La4	A4	305	305	1	8	294	95	96	.	1.555556
11	9	Si4b2	B4b1	312	313	1	8	294	95	96	.	1.666667
12	9	Do5	C5	318	318	1	8	294	95	96	.	1.777778
13	9	Si4b2	B4b1	312	313	1	8	294	95	96	.	1.888889
14	9	Do5	C5	318	318	1	8	294	95	96	.	2
15	9	Si4b2	B4b1	312	313	1	8	294	95	96	.	2.111111
16	9	La4	A4	305	305	3	8	882	95	96	.	2.444444
17	9	Si4b2	B4b1	312	313	1	8	294	95	96	.	2.555556
18	9	La4	A4	305	305	1	8	294	95	96	.	2.666667
19	9	Si4b2	B4b1	312	313	3	8	882	95	96	.	3
20	53			0	0	0	0	0	0	0		3
21	9	Si4b2	B4b1	312	313	1	8	294	95	96	ARANAĞME 	3.111111
22	9	Si4b2	B4b1	312	313	1	4	588	95	96	.	3.333333
23	9	Si4b2	B4b1	312	313	1	8	294	95	96	.	3.444444
24	9	Re5b3	D5b4	324	323	1	4	588	95	96	.	3.666667
25	9	Do5	C5	318	318	1	4	588	95	96	.	3.888889
26	9	Si4b2	B4b1	312	313	1	8	294	95	96	.	4
27	9	Do5	C5	318	318	1	4	588	95	96	.	4.222222
28	9	Si4b2	B4b1	312	313	1	8	294	95	96	.	4.333333
29	9	La4	A4	305	305	1	8	294	95	96	.	4.444445
30	9	La4	A4	305	305	1	8	294	95	96	.	4.555555
31	9	Si4b2	B4b1	312	313	1	8	294	95	96	.	4.666667
32	9	Do5	C5	318	318	1	8	294	95	96	.	4.777778
33	9	Si4b2	B4b1	312	313	1	8	294	95	96	.	4.888889
34	9	Do5	C5	318	318	1	8	294	95	96	.	5
35	9	Si4b2	B4b1	312	313	1	8	294	95	96	.	5.111111
36	9	La4	A4	305	305	3	8	882	95	96	.	5.444445
37	9	La4	A4	305	305	1	4	588	95	96	.	5.666667
38	9	Do5	C5	318	318	1	16	147	95	96	.	5.722222
39	9	Re5b3	D5b4	324	323	1	16	147	95	96	.	5.777778
40	9	Do5	C5	318	318	1	16	147	95	96	.	5.833333
41	9	Si4b2	B4b1	312	313	1	16	147	95	96	.	5.888889
