Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9			-1	-1	1	4	870	100	0		0.2
2	9			-1	-1	1	8	435	100	0		0.3
3	9			-1	-1	1	4	870	100	0		0.5
4	9			-1	-1	1	4	870	100	0		0.7
5	9	Mi5	E5	336	336	4	16	870	99	96	Çık	0.9
6	9	Re5	D5	327	327	1	8	435	95	96		1
7	9	Re5	D5	327	327	1	4	870	95	96	maz 	1.2
8	9	Do5	C5	318	318	1	8	435	95	96	de	1.3
9	9	Re5	D5	327	327	1	8	435	99	96	rûn_	1.4
10	9	Do5	C5	318	318	1	8	435	99	96		1.5
11	9	Re5	D5	327	327	1	8	435	95	96		1.6
12	9	Mi5	E5	336	336	1	8	435	95	96	ü 	1.7
13	9	Do5	C5	318	318	4	16	870	99	96	dil	1.9
14	9	Si4b2	B4b1	312	313	1	8	435	99	66		2
15	9	Do5	C5	318	318	4	16	870	99	120		2.2
16	9	Si4b2	B4b1	312	313	1	8	435	99	66		2.3
17	9	Do5	C5	318	318	1	8	435	99	120		2.4
18	9	Si4b2	B4b1	312	313	1	8	435	95	96		2.5
19	8	Fa5#3	F5#4	343	344	0	0	0	95	96		2.5
20	9	Sol5	G5	349	349	1	8	435	95	96	den_	2.6
21	9	Sol5	G5	349	349	1	8	435	95	96	e	2.7
22	9	Sol5	G5	349	349	1	8	435	99	96	fen	2.8
23	9	Fa5	F5	340	340	1	8	435	99	96		2.9
24	9	Mi5	E5	336	336	1	8	435	99	96		3
25	9	Re5	D5	327	327	1	4	870	95	96		3.2
26	53			0	0	0	0	0	0	0		3.2
27	9	Sol4	G4	296	296	1	4	870	50	96	dim 	3.4
28	9	La4	A4	305	305	1	8	435	95	96	mu	3.5
29	9	Si4b2	B4b1	312	313	1	8	435	99	96	hab	3.6
30	9	Do5	C5	318	318	1	8	435	99	96		3.7
31	9	Re5	D5	327	327	4	16	870	99	96		3.9
32	9	Do5	C5	318	318	1	8	435	99	96		4
33	9	Si4b2	B4b1	312	313	1	4	870	99	96		4.2
34	10	La4	A4	305	305	1	8	435	99	96		4.3
35	8	Si4b2	B4b1	312	313	0	0	0	99	96		4.3
36	9	Sol4	G4	296	296	1	4	870	95	96		4.5
37	9	Mi5	E5	336	336	1	8	435	99	96	be	4.6
38	9	Re5	D5	327	327	1	8	435	95	96		4.7
39	9	Re5	D5	327	327	1	4	870	99	96	tin 	4.9
40	9	Do5	C5	318	318	1	8	435	95	96		5
41	9	Si4b2	B4b1	312	313	1	4	870	99	96	vay  	5.2
42	9	La4	A4	305	305	1	2	1739	95	96		5.6
43	9			-1	-1	1	8	435	100	0		5.7
44	53			0	0	0	0	0	0	0		5.7
45	12	Mi5	E5	336	336	4	16	870	95	96	Kur	5.9
46	9	Re5	D5	327	327	1	8	435	95	96		6
47	9	Re5	D5	327	327	1	4	870	95	96	bâ	6.2
48	9	Do5	C5	318	318	1	8	435	95	96	nın_	6.3
49	9	Re5	D5	327	327	1	8	435	99	96	ol	6.4
50	9	Do5	C5	318	318	1	8	435	99	96		6.5
51	9	Re5	D5	327	327	1	8	435	95	96		6.6
52	9	Mi5	E5	336	336	1	8	435	95	96	du	6.7
53	9	Do5	C5	318	318	4	16	870	99	96	ğum 	6.9
54	9	Si4b2	B4b1	312	313	1	8	435	99	66		7
55	9	Do5	C5	318	318	4	16	870	99	120		7.2
56	9	Si4b2	B4b1	312	313	1	8	435	99	66		7.3
57	9	Do5	C5	318	318	1	8	435	99	120		7.4
58	9	Si4b2	B4b1	312	313	1	8	435	95	96		7.5
59	8	Fa5#3	F5#4	343	344	0	0	0	95	96		7.5
60	9	Sol5	G5	349	349	1	8	435	95	96	bi	7.6
61	9	Sol5	G5	349	349	1	8	435	95	96	ze 	7.7
62	9	Sol5	G5	349	349	1	8	435	99	96	yok 	7.8
63	9	Fa5	F5	340	340	1	8	435	99	96		7.9
64	9	Mi5	E5	336	336	1	8	435	99	96		8
65	9	Re5	D5	327	327	1	4	870	95	96		8.2
66	53			0	0	0	0	0	0	0		8.2
67	9	Sol4	G4	296	296	1	4	870	50	96	mu 	8.4
68	9	La4	A4	305	305	1	8	435	95	96	mü	8.5
69	9	Si4b2	B4b1	312	313	1	8	435	99	96	rüv	8.6
70	9	Do5	C5	318	318	1	8	435	99	96		8.7
71	9	Re5	D5	327	327	4	16	870	99	96		8.9
72	9	Do5	C5	318	318	1	8	435	99	96		9
73	9	Si4b2	B4b1	312	313	1	4	870	99	96		9.2
74	10	La4	A4	305	305	1	8	435	99	96		9.3
75	8	Si4b2	B4b1	312	313	0	0	0	99	96		9.3
76	9	Sol4	G4	296	296	1	4	870	95	96		9.5
