Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Si4b1	B4b1	313	313	5	8	1250	95	96	ARANAĞME 	0.5
2	9	Do5	C5	318	318	1	8	250	95	96	.	0.6
3	9	Re5	D5	327	327	1	8	250	95	96	.	0.7
4	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	0.8
5	9	La4b4	A4b4	301	301	1	8	250	95	96	.	0.9
6	9	Sol4	G4	296	296	1	8	250	95	96	.	1
7	9	Do5	C5	318	318	5	4	2500	95	96	.	2
8	53			0	0	0	0	0	0	0		2
9	9	Si4b1	B4b1	313	313	5	8	1250	95	96	.	2.5
10	9	Do5	C5	318	318	1	8	250	95	96	.	2.6
11	9	Re5	D5	327	327	1	8	250	95	96	.	2.7
12	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	2.8
13	9	La4b4	A4b4	301	301	1	8	250	95	96	.	2.9
14	9	Sol4	G4	296	296	1	8	250	95	96	.	3
15	9	Re5	D5	327	327	7	8	1750	95	96	.	3.7
16	9	Re5	D5	327	327	1	8	250	95	96	.	3.8
17	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	3.9
18	9	Fa5#4	F5#4	344	344	1	8	250	95	96	.	4
19	53			0	0	0	0	0	0	0		4
20	9	Sol5	G5	349	349	3	16	375	95	96	.	4.15
21	9	Fa5#4	F5#4	344	344	1	16	125	95	96	.	4.2
22	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	4.3
23	9	Re5	D5	327	327	1	8	250	95	96	.	4.4
24	9	Do5	C5	318	318	1	8	250	95	96	.	4.5
25	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	4.6
26	9	Do5	C5	318	318	1	8	250	95	96	.	4.7
27	9	Re5	D5	327	327	1	8	250	95	96	.	4.8
28	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	4.9
29	9	Fa5	F5	340	340	1	8	250	95	96	.	5
30	9	Fa5	F5	340	340	1	4	500	95	96	.	5.2
31	9	La5b4	A5b4	354	354	1	8	250	95	96	.	5.3
32	9	Sol5	G5	349	349	1	8	250	95	96	.	5.4
33	9	Fa5	F5	340	340	1	8	250	95	96	.	5.5
34	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	5.6
35	9	Re5	D5	327	327	1	8	250	95	96	.	5.7
36	9	Mi5b4	E5b4	332	332	3	8	750	95	96	.	6
37	53			0	0	0	0	0	0	0		6
38	9	Si4b1	B4b1	313	313	5	8	1250	95	96	.	6.5
39	9	Re5	D5	327	327	5	8	1250	95	96	.	7
40	9	Sol5	G5	349	349	3	16	375	95	96	.	7.15
41	9	Fa5#4	F5#4	344	344	1	16	125	95	96	.	7.2
42	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	7.3
43	9	Re5	D5	327	327	1	8	250	95	96	.	7.4
44	9	Do5	C5	318	318	1	8	250	95	96	.	7.5
45	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	7.6
46	9	La4b4	A4b4	301	301	1	8	250	95	96	.	7.7
47	9	Sol4	G4	296	296	3	8	750	95	96	.  	8
48	53			0	0	0	0	0	0	0		8
49	9	Si4b1	B4b1	313	313	5	8	1250	95	96	ARANAĞME 	8.5
50	9	Do5	C5	318	318	1	8	250	95	96	.	8.6
51	9	Re5	D5	327	327	1	8	250	95	96	.	8.7
52	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	8.8
53	9	La4b4	A4b4	301	301	1	8	250	95	96	.	8.9
54	9	Sol4	G4	296	296	1	8	250	95	96	.	9
55	9	Do5	C5	318	318	5	4	2500	95	96	.	10
56	53			0	0	0	0	0	0	0		10
57	9	Si4b1	B4b1	313	313	5	8	1250	95	96	.	10.5
58	9	Do5	C5	318	318	1	8	250	95	96	.	10.6
59	9	Re5	D5	327	327	1	8	250	95	96	.	10.7
60	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	10.8
61	9	La4b4	A4b4	301	301	1	8	250	95	96	.	10.9
62	9	Sol4	G4	296	296	1	8	250	95	96	.	11
63	9	Re5	D5	327	327	7	8	1750	95	96	.	11.7
64	9	Re5	D5	327	327	1	8	250	95	96	.	11.8
65	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	11.9
66	9	Fa5#4	F5#4	344	344	1	8	250	95	96	.	12
67	53			0	0	0	0	0	0	0		12
68	9	Sol5	G5	349	349	3	16	375	95	96	.	12.15
69	9	Fa5#4	F5#4	344	344	1	16	125	95	96	.	12.2
70	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	12.3
71	9	Re5	D5	327	327	1	8	250	95	96	.	12.4
72	9	Do5	C5	318	318	1	8	250	95	96	.	12.5
73	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	12.6
74	9	Do5	C5	318	318	1	8	250	95	96	.	12.7
75	9	Re5	D5	327	327	1	8	250	95	96	.	12.8
76	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	12.9
77	9	Fa5	F5	340	340	1	8	250	95	96	.	13
78	9	Fa5	F5	340	340	1	4	500	95	96	.	13.2
79	9	La5b4	A5b4	354	354	1	8	250	95	96	.	13.3
80	9	Sol5	G5	349	349	1	8	250	95	96	.	13.4
81	9	Fa5	F5	340	340	1	8	250	95	96	.	13.5
82	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	13.6
83	9	Re5	D5	327	327	1	8	250	95	96	.	13.7
84	9	Mi5b4	E5b4	332	332	3	8	750	95	96	.	14
85	53			0	0	0	0	0	0	0		14
86	9	Si4b1	B4b1	313	313	5	8	1250	95	96	.	14.5
87	9	Re5	D5	327	327	5	8	1250	95	96	.	15
