Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	do5	C5	318	318	1	16	208	95	96	ARANAĞME 	5.555556E-02
2	9	re5	D5	327	327	1	8	417	95	96	.	0.1666667
3	9	re5	D5	327	327	1	16	208	95	96	.	0.2222222
4	9	re5	D5	327	327	1	8	417	95	96	.	0.3333333
5	9	re5	D5	327	327	1	16	208	95	96	.	0.3888889
6	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	0.4444444
7	9	re5	D5	327	327	1	16	208	95	96	.	0.5
8	9	do5	C5	318	318	1	16	208	95	96	.	0.5555556
9	9	si4b1	B4b1	313	313	1	16	208	95	96	.	0.6111111
10	9	do5	C5	318	318	1	16	208	95	96	.	0.6666667
11	9	re5	D5	327	327	1	16	208	95	96	.	0.7222222
12	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	0.7777778
13	9	re5	D5	327	327	1	16	208	95	96	.	0.8333333
14	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	0.8888889
15	9	re5	D5	327	327	1	16	208	95	96	.	0.9444444
16	9	do5	C5	318	318	1	16	208	95	96	.	1
17	53			0	0	0	0	0	0	0		1
18	9	re5	D5	327	327	1	16	208	95	96	.	1.055556
19	9	Mi5b3	E5b4	333	332	1	8	417	95	96	.	1.166667
20	9	re5	D5	327	327	1	16	208	95	96	.	1.222222
21	9	la5	A5	358	358	1	16	208	95	96	.	1.277778
22	9	sol5	G5	349	349	1	16	208	95	96	.	1.333333
23	9	sol5	G5	349	349	1	16	208	95	96	.	1.388889
24	9	Fa5#3	F5#4	343	344	1	16	208	95	96	.	1.444444
25	9	Fa5#3	F5#4	343	344	1	16	208	95	96	.	1.5
26	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	1.555556
27	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	1.611111
28	9	re5	D5	327	327	1	16	208	95	96	.	1.666667
29	9	re5	D5	327	327	1	8	417	95	96	.	1.777778
30	9	Mi5b3	E5b4	333	332	1	8	417	95	96	.	1.888889
31	9	Fa5#3	F5#4	343	344	1	8	417	95	96	.	2
32	53			0	0	0	0	0	0	0		2
33	9	re5	D5	327	327	1	16	208	95	96	.	2.055556
34	9	Fa5#3	F5#4	343	344	1	8	417	95	96	.	2.166667
35	9	Fa5#3	F5#4	343	344	1	16	208	95	96	.	2.222222
36	9	Fa5#3	F5#4	343	344	1	8	417	95	96	.	2.333333
37	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	2.388889
38	9	re5	D5	327	327	1	16	208	95	96	.	2.444444
39	9	Fa5#3	F5#4	343	344	1	16	208	95	96	.	2.5
40	9	sol5	G5	349	349	1	16	208	95	96	.	2.555556
41	9	la5	A5	358	358	1	16	208	95	96	.	2.611111
42	9	si5b5	B5b5	362	362	1	16	208	95	96	.	2.666667
43	9	la5	A5	358	358	1	16	208	95	96	.	2.722222
44	9	sol5	G5	349	349	1	16	208	95	96	.	2.777778
45	9	Fa5#3	F5#4	343	344	1	16	208	95	96	.	2.833333
46	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	2.888889
47	9	re5	D5	327	327	1	16	208	95	96	.	2.944444
48	9	do5	C5	318	318	1	16	208	95	96	.	3
49	9	si4b1	B4b1	313	313	1	16	208	95	96	.	3.055556
50	9	do5	C5	318	318	1	16	208	95	96	.	3.111111
51	9	re5	D5	327	327	1	16	208	95	96	.	3.166667
52	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	3.222222
53	9	Fa5#3	F5#4	343	344	1	8	417	95	96	.	3.333333
54	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	3.388889
55	9	re5	D5	327	327	1	16	208	95	96	.	3.444444
56	9	re5	D5	327	327	1	16	208	95	96	.	3.5
57	9	do5	C5	318	318	1	16	208	95	96	.	3.555556
58	9	do5	C5	318	318	1	16	208	95	96	.	3.611111
59	9	si4b1	B4b1	313	313	1	16	208	95	96	.	3.666667
60	9	si4b1	B4b1	313	313	1	8	417	95	96	.	3.777778
61	9	do5	C5	318	318	1	8	417	95	96	.	3.888889
62	9	re5	D5	327	327	1	8	417	95	96	.	4
63	53			0	0	0	0	0	0	0		4
64	9	do5	C5	318	318	1	16	208	95	96	ARANAĞME 	4.055555
65	9	re5	D5	327	327	1	8	417	95	96	.	4.166667
66	9	re5	D5	327	327	1	16	208	95	96	.	4.222222
67	9	re5	D5	327	327	1	8	417	95	96	.	4.333333
68	9	re5	D5	327	327	1	16	208	95	96	.	4.388889
69	9	Mi5b3	E5b4	333	332	1	16	208	95	96	.	4.444445
70	9	re5	D5	327	327	1	16	208	95	96	.	4.5
71	9	do5	C5	318	318	1	16	208	95	96	.	4.555555
72	9	si4b1	B4b1	313	313	1	16	208	95	96	.	4.611111
73	9	do5	C5	318	318	1	16	208	95	96	.	4.666667
74	9	re5	D5	327	327	1	16	208	95	96	.	4.722222
