Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Fa5	F5	340	340	1	8	400	95	96	ARANAĞME	5.555556E-02
2	9	Sol5	G5	349	349	1	4	800	95	96	.	0.1666667
3	9	La5b5	A5b5	353	353	1	8	400	95	96	.	0.2222222
4	9	Fa5	F5	340	340	1	4	800	95	96	.	0.3333333
5	9	Do6	C6	371	371	3	16	600	95	96	.	0.4166667
6	9	Si5b5	B5b5	362	362	1	16	200	95	96	.	0.4444444
7	9	Si5b5	B5b5	362	362	3	16	600	95	96	.	0.5277778
8	9	La5b5	A5b5	353	353	1	16	200	95	96	.	0.5555556
9	9	La5b5	A5b5	353	353	3	16	600	95	96	.	0.6388889
10	9	Sol5	G5	349	349	1	16	200	95	96	.	0.6666667
11	9	Sol5	G5	349	349	3	16	600	95	96	.	0.75
12	9	La5b5	A5b5	353	353	1	16	200	95	96	.	0.7777778
13	9	Si5b5	B5b5	362	362	1	16	200	95	96	.	0.8055556
14	9	Do6	C6	371	371	1	16	200	95	96	.	0.8333333
15	9	Si5b5	B5b5	362	362	1	16	200	95	96	.	0.8611111
16	9	La5b5	A5b5	353	353	1	16	200	95	96	.	0.8888889
17	9	Sol5	G5	349	349	1	4	800	95	96	.	1
18	53			0	0	0	0	0	0	0		1
19	9	Sol5	G5	349	349	1	16	200	95	96	.	1.027778
20	9	La5b5	A5b5	353	353	1	8	400	95	96	.	1.083333
21	9	Sol5	G5	349	349	1	16	200	95	96	.	1.111111
22	9	Fa5	F5	340	340	1	4	800	95	96	.	1.222222
23	9	Fa5	F5	340	340	1	16	200	95	96	.	1.25
24	9	Sol5	G5	349	349	1	8	400	95	96	.	1.305556
25	9	Fa5	F5	340	340	1	16	200	95	96	.	1.333333
26	9	Mi5b5	E5b5	331	331	1	4	800	95	96	.	1.444444
27	53			0	0	0	0	0	0	0		1.444444
28	9	Re5	D5	327	327	1	8	400	95	96	.	1.5
29	9	Do5	C5	318	318	1	16	200	95	96	.	1.527778
30	9	Si4b5	B4b5	309	309	1	16	200	95	96	.	1.555556
31	9	Sol5	G5	349	349	1	8	400	95	96	.	1.611111
32	9	Fa5	F5	340	340	1	16	200	95	96	.	1.638889
33	9	Mi5b5	E5b5	331	331	1	16	200	95	96	.	1.666667
34	9	Re5	D5	327	327	1	16	200	95	96	.	1.694444
35	9	Mi5b5	E5b5	331	331	1	16	200	95	96	.	1.722222
36	9	Re5	D5	327	327	1	16	200	95	96	.	1.75
37	9	Mi5b5	E5b5	331	331	1	16	200	95	96	.	1.777778
38	9	Re5	D5	327	327	1	16	200	95	96	.	1.805556
39	9	Mi5b5	E5b5	331	331	1	16	200	95	96	.	1.833333
40	9	Re5	D5	327	327	1	16	200	95	96	.	1.861111
41	9	Mi5b5	E5b5	331	331	1	16	200	95	96	.	1.888889
42	9	Re5	D5	327	327	1	8	400	95	96	.	1.944444
43	9	Do5	C5	318	318	1	8	400	95	96	.	2
44	53			0	0	0	0	0	0	0		2
45	9			-1	-1	1	8	400	100	0	.	2.055556
46	9	Mi5b5	E5b5	331	331	1	8	400	95	96	.	2.111111
47	9	Re5	D5	327	327	1	8	400	95	96	.	2.166667
48	9	Do5	C5	318	318	1	8	400	95	96	.	2.222222
49	9			-1	-1	1	8	400	100	0	.	2.277778
50	9	La5b5	A5b5	353	353	1	8	400	95	96	.	2.333333
51	9	Sol5	G5	349	349	1	8	400	95	96	.	2.388889
52	9	Fa5	F5	340	340	1	8	400	95	96	.	2.444444
53	9	Mi5b5	E5b5	331	331	3	16	600	95	96	.	2.527778
54	9	Re5	D5	327	327	1	16	200	95	96	.	2.555556
55	9	Do5	C5	318	318	1	8	400	95	96	.	2.611111
56	9	Re5	D5	327	327	1	8	400	95	96	.	2.666667
57	9	Si4b5	B4b5	309	309	1	8	400	95	96	.	2.722222
58	9	Do5	C5	318	318	1	8	400	95	96	.	2.777778
59	9	Si4b5	B4b5	309	309	1	8	400	95	96	.	2.833333
60	9	La4b5	A4b5	300	300	1	8	400	95	96	.	2.888889
61	9	Sol4	G4	296	296	1	8	400	95	96	.	2.944444
62	9	Fa4	F4	287	287	1	8	400	95	96	.	3
63	53			0	0	0	0	0	0	0		3
64	9	Si4b5	B4b5	309	309	1	8	400	95	96	.	3.055556
65	9	Do5	C5	318	318	1	4	800	95	96	.	3.166667
66	9	Do5	C5	318	318	1	8	400	95	96	.	3.222222
67	9	Si4b5	B4b5	309	309	1	12	267	95	96	.	3.259259
68	9	Do5	C5	318	318	1	12	267	95	96	.	3.296296
69	9	Re5	D5	327	327	1	12	267	95	96	.	3.333333
70	9	Mi5b5	E5b5	331	331	1	12	267	95	96	.	3.37037
71	9	Re5	D5	327	327	1	12	267	95	96	.	3.407408
72	9	Do5	C5	318	318	1	12	267	95	96	.	3.444444
73	9	Si4b5	B4b5	309	309	3	16	600	95	96	.	3.527778
