Sýra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	1	8	417	95	96	ARANAÐME	0.125
2	9	Sol5	G5	349	349	1	4	833	95	96	.	0.375
3	9	Re5	D5	327	327	1	8	417	95	96	.	0.5
4	9	Mi5	E5	336	336	1	16	208	95	96	.	0.5625
5	9	Re5	D5	327	327	1	16	208	95	96	.	0.625
6	9	Mi5	E5	336	336	1	16	208	95	96	.	0.6875
7	9	Fa5#5	F5#5	345	345	1	16	208	95	96	.	0.75
8	9	Sol5	G5	349	349	1	4	833	95	96	.	1
9	53			0	0	0	0	0	0	0		1
10	9	Fa5#5	F5#5	345	345	1	16	208	95	108	.	1.0625
11	9	Sol5	G5	349	349	1	16	208	95	96	.	1.125
12	9	La5	A5	358	358	1	4	833	95	96	.	1.375
13	9	Sol5	G5	349	349	1	16	208	95	84	.	1.4375
14	9	Fa5#4	F5#4	344	344	1	16	208	95	96	.	1.5
15	9	Fa5#4	F5#4	344	344	1	16	208	95	96	.	1.5625
16	9	Sol5	G5	349	349	1	16	208	95	96	.	1.625
17	9	Fa5	F5	340	340	1	16	208	95	96	.	1.6875
18	9	Mi5	E5	336	336	1	16	208	95	96	.	1.75
19	9	Re5	D5	327	327	1	4	833	95	66	.	2
20	53			0	0	0	0	0	0	72		2
21	9	Re5	D5	327	327	1	8	417	95	78	.	2.125
22	9	Sol5	G5	349	349	1	4	833	95	96	.	2.375
23	9	La5	A5	358	358	1	8	417	95	96	.	2.5
24	9	Si5	B5	367	367	1	8	417	95	84	.	2.625
25	9	Sol5	G5	349	349	1	8	417	95	96	.	2.75
26	9	La5	A5	358	358	1	8	417	95	96	.	2.875
27	9	Fa5#5	F5#5	345	345	1	8	417	95	66	.	3
28	9	Sol5	G5	349	349	3	8	1250	95	78	.	3.375
29	53			0	0	0	0	0	0	0		3.375
30	9	Fa5	F5	340	340	1	16	208	95	96	.	3.4375
31	9	Mi5	E5	336	336	1	16	208	95	96	.	3.5
32	9	Re5	D5	327	327	1	16	208	95	96	.	3.5625
33	9	Do5	C5	318	318	1	16	208	95	96	.	3.625
34	9	Si4	B4	314	314	1	16	208	95	96	.	3.6875
35	9	La4	A4	305	305	1	16	208	95	96	.	3.75
36	9	Sol4	G4	296	296	1	4	833	95	96	.	4
37	53			0	0	0	0	0	0	0		4
38	9	Sol4	G4	296	296	1	8	417	95	96	.	4.125
39	9	Sol5	G5	349	349	1	4	833	95	96	.	4.375
40	9	Re5	D5	327	327	1	8	417	95	96	.	4.5
41	9	Mi5	E5	336	336	1	16	208	95	96	.	4.5625
42	9	Re5	D5	327	327	1	16	208	95	96	.	4.625
43	9	Mi5	E5	336	336	1	16	208	95	96	.	4.6875
44	9	Fa5#5	F5#5	345	345	1	16	208	95	96	.	4.75
45	9	Sol5	G5	349	349	1	4	833	95	96	.	5
46	53			0	0	0	0	0	0	0		5
47	9	Re5	D5	327	327	1	16	208	95	84	.	5.0625
48	9	Do5	C5	318	318	1	16	208	95	96	.	5.125
49	9	Re5	D5	327	327	1	16	208	95	96	.	5.1875
50	9	Mi5	E5	336	336	1	16	208	95	96	.	5.25
51	9	Re5	D5	327	327	1	8	417	95	96	.	5.375
52	9	Do5	C5	318	318	1	8	417	95	96	.	5.5
53	7	Si4	B4	314	314	3	16	625	95	96	.	5.6875
54	9	La4	A4	305	305	1	16	208	95	96	.	5.75
55	9	Sol4	G4	296	296	1	4	833	95	96	.	6
56	53			0	0	0	0	0	0	0		6
57	9	Sol4	G4	296	296	1	8	417	95	84	.	6.125
58	9	La4	A4	305	305	1	4	833	95	96	.	6.375
59	9	Do5	C5	318	318	1	8	417	95	96	.	6.5
60	9	Si4	B4	314	314	1	8	417	95	96	.	6.625
61	9	Sol4	G4	296	296	1	8	417	95	96	.	6.75
62	9	La4	A4	305	305	1	8	417	95	96	.	6.875
63	9	Fa4#5	F4#5	292	292	1	8	417	95	66	.	7
64	9	Sol4	G4	296	296	1	8	417	95	78	.	7.125
65	53			0	0	0	0	0	0	0		7.125
66	12	Sol5	G5	349	349	4	16	833	95	96	.	7.375
67	9	Fa5	F5	340	340	1	16	208	95	96	.	7.4375
68	9	Mi5	E5	336	336	1	16	208	95	96	.	7.5
69	9	Re5	D5	327	327	1	16	208	95	96	.	7.5625
70	9	Do5	C5	318	318	1	16	208	95	96	.	7.625
71	9	Si4	B4	314	314	1	16	208	95	96	.	7.6875
72	9	La4	A4	305	305	1	16	208	95	96	.	7.75
73	9	Sol4	G4	296	296	1	4	833	95	96	.	8
74	53			0	0	0	0	0	0	0		8
75	9	Sol4	G4	296	296	1	8	417	95	96	ARANAÐME	8.125
76	9	Sol5	G5	349	349	1	4	833	95	96	.	8.375
77	9	Re5	D5	327	327	1	8	417	95	96	.	8.5
78	9	Mi5	E5	336	336	1	16	208	95	96	.	8.5625
79	9	Re5	D5	327	327	1	16	208	95	96	.	8.625
80	9	Mi5	E5	336	336	1	16	208	95	96	.	8.6875
81	9	Fa5#5	F5#5	345	345	1	16	208	95	96	.	8.75
82	9	Sol5	G5	349	349	1	4	833	95	96	.	9
83	53			0	0	0	0	0	0	0		9
84	9	Fa5#5	F5#5	345	345	1	16	208	95	108	.	9.0625
85	9	Sol5	G5	349	349	1	16	208	95	96	.	9.125
86	9	La5	A5	358	358	1	4	833	95	96	.	9.375
87	9	Sol5	G5	349	349	1	16	208	95	84	.	9.4375
88	9	Fa5#4	F5#4	344	344	1	16	208	95	96	.	9.5
89	9	Fa5#4	F5#4	344	344	1	16	208	95	96	.	9.5625
90	9	Sol5	G5	349	349	1	16	208	95	96	.	9.625
91	9	Fa5	F5	340	340	1	16	208	95	96	.	9.6875
92	9	Mi5	E5	336	336	1	16	208	95	96	.	9.75
93	9	Re5	D5	327	327	1	4	833	95	66	.	10
