Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
1	9	Sol4	G4	296	296	3	16	714	95	96	ARANAĞME	0.125
2	9	Sol4	G4	296	296	1	16	238	95	96	.	0.1666667
3	9	Sol4	G4	296	296	1	4	952	95	96	.	0.3333333
4	9	Sol4	G4	296	296	1	4	952	95	96	.	0.5
5	9	La4	A4	305	305	3	16	714	95	96	.	0.625
6	9	Do5	C5	318	318	1	16	238	95	96	.	0.6666667
7	9	Si4b1	B4b1	313	313	3	16	714	95	96	.	0.7916667
8	9	La4	A4	305	305	1	16	238	95	96	.	0.8333333
9	9	Sol4	G4	296	296	1	4	952	95	96	.	1
10	9	La4	A4	305	305	3	16	714	95	96	.	1.125
11	9	La4	A4	305	305	1	16	238	95	96	.	1.166667
12	9	La4	A4	305	305	1	4	952	95	96	.	1.333333
13	9	Si4b1	B4b1	313	313	1	4	952	95	96	.	1.5
14	9	Sol4	G4	296	296	3	32	357	95	96	.	1.5625
15	9	Fa4#4	F4#4	291	291	1	32	119	95	96	.	1.583333
16	9	Mi4	E4	283	283	1	16	238	95	96	.	1.625
17	9	Fa4#4	F4#4	291	291	1	16	238	95	96	.	1.666667
18	9	Sol4	G4	296	296	3	8	1429	95	96	.	1.916667
19	9			-1	-1	1	8	476	100	0		2
20	53			0	0	0	0	0	0	0		2
21	9	Sol4	G4	296	296	3	16	714	95	96	ARANAĞME	2.125
22	9	Sol4	G4	296	296	1	16	238	95	96	.	2.166667
23	9	Sol4	G4	296	296	1	4	952	95	96	.	2.333333
24	9	Sol4	G4	296	296	1	4	952	95	96	.	2.5
25	9	La4	A4	305	305	3	16	714	95	96	.	2.625
26	9	Do5	C5	318	318	1	16	238	95	96	.	2.666667
27	9	Si4b1	B4b1	313	313	3	16	714	95	96	.	2.791667
28	9	La4	A4	305	305	1	16	238	95	96	.	2.833333
29	9	Sol4	G4	296	296	1	4	952	95	96	.	3
30	9	La4	A4	305	305	3	16	714	95	96	.	3.125
31	9	La4	A4	305	305	1	16	238	95	96	.	3.166667
32	9	La4	A4	305	305	1	4	952	95	96	.	3.333333
33	9	Si4b1	B4b1	313	313	1	4	952	95	96	.	3.5
34	9	Sol4	G4	296	296	3	32	357	95	96	.	3.5625
35	9	Fa4#4	F4#4	291	291	1	32	119	95	96	.	3.583333
36	9	Mi4	E4	283	283	1	16	238	95	96	.	3.625
37	9	Fa4#4	F4#4	291	291	1	16	238	95	96	.	3.666667
38	9	Sol4	G4	296	296	3	8	1429	95	96	.	3.916667
39	9			-1	-1	1	8	476	100	0		4
40	53			0	0	0	0	0	0	0		4
41	9	Sol4	G4	296	296	3	16	714	95	96	.	4.125
42	9	Sol4	G4	296	296	1	16	238	95	96	.	4.166667
43	9	Sol4	G4	296	296	1	4	952	95	96	.	4.333333
44	9			-1	-1	1	4	952	100	0	.	4.5
45	9	Sol4	G4	296	296	1	8	476	95	96	.	4.583333
46	9	Sol4	G4	296	296	1	8	476	95	96	.	4.666667
47	9	Sol4	G4	296	296	3	8	1429	95	96	.	4.916667
48	9			-1	-1	1	8	476	100	0		5
49	53			0	0	0	0	0	0	0		5
50	9	Sol4	G4	296	296	3	16	714	95	96	Hâ	5.125
51	9	Sol4	G4	296	296	1	16	238	95	96	fı	5.166667
52	9	Sol4	G4	296	296	1	4	952	95	96	zın	5.333333
53	9	Sol4	G4	296	296	1	4	952	95	96	kab	5.5
54	9	La4	A4	305	305	1	8	476	95	96	ri	5.583333
55	9	Si4b1	B4b1	313	313	1	16	238	99	96	o	5.625
56	9	La4	A4	305	305	1	16	238	95	96		5.666667
57	9	La4	A4	305	305	1	16	238	99	96	lan	5.708333
58	9	Sol4	G4	296	296	1	16	238	99	96		5.75
59	9	Sol4	G4	296	296	1	16	238	99	96		5.791667
60	9	Fa4#4	F4#4	291	291	1	16	238	95	96		5.833333
61	9	Sol4	G4	296	296	1	4	952	95	96	bah	6
62	9	La4	A4	305	305	1	8	476	95	96	çe	6.083333
63	9	Do5	C5	318	318	1	8	476	95	96	de	6.166667
64	9	Si4b1	B4b1	313	313	1	8	476	95	96	bir	6.25
65	9	La4	A4	305	305	1	8	476	95	96		6.333333
66	9	Sol4	G4	296	296	1	8	476	99	96	gül	6.416667
67	9	Fa4#4	F4#4	291	291	1	8	476	95	96		6.5
68	9	Fa4#4	F4#4	291	291	1	16	238	99	96	var	6.541667
69	9	Mi4	E4	283	283	1	16	238	99	96		6.583333
70	9	Mi4	E4	283	283	1	16	238	99	96		6.625
71	9	Fa4#4	F4#4	291	291	1	16	238	95	96		6.666667
72	9	Sol4	G4	296	296	3	8	1429	95	96	mış	6.916667
73	9			-1	-1	1	8	476	100	0		7
74	53			0	0	0	0	0	0	0		7
75	9	Sol4	G4	296	296	1	8	476	95	96	Ye	7.083333
76	9	Si4b1	B4b1	313	313	1	8	476	95	96	ni	7.166667
77	9	Si4b1	B4b1	313	313	1	4	952	95	96	den	7.333333
78	9	Si4b1	B4b1	313	313	1	4	952	95	96	her	7.5
79	9	La4	A4	305	305	1	8	476	95	96	gün_	7.583333
80	9	Si4b1	B4b1	313	313	1	8	476	95	96	a	7.666667
81	11	Do5	C5	318	318	1	8	476	99	96	çar	7.75
82	9	Do5	C5	318	318	1	16	238	99	96		7.791667
83	11	Si4b1	B4b1	313	313	1	16	238	95	84		7.833333
84	9	Si4b1	B4b1	313	313	1	4	952	95	96	mış	8
85	9	Si4b1	B4b1	313	313	1	8	476	95	96	ka	8.083333
86	9	Re5	D5	327	327	1	8	476	95	96	na	8.166667
87	9	Do5	C5	318	318	3	16	714	99	96	yan	8.291667
88	9	Si4b1	B4b1	313	313	1	16	238	95	96		8.333333
89	9	Si4b1	B4b1	313	313	3	16	714	99	96	ren	8.458333
90	9	La4	A4	305	305	1	16	238	95	96		8.5
91	9	La4	A4	305	305	1	16	238	99	96	giy	8.541667
92	9	Sol4	G4	296	296	1	16	238	99	96		8.583333
93	9	Sol4	G4	296	296	1	16	238	99	96		8.625
94	9	La4	A4	305	305	1	16	238	95	96		8.666667
95	9	Si4b1	B4b1	313	313	3	8	1429	95	96	le	8.916667
96	9			-1	-1	1	8	476	100	0		9
97	53			0	0	0	0	0	0	0		9
98	9	Sol4	G4	296	296	1	8	476	95	96	Ge	9.083333
99	9	Re5	D5	327	327	1	8	476	95	96	ce	9.166667
100	9	Re5	D5	327	327	1	4	952	95	96	bül	9.333333
101	9	Re5	D5	327	327	1	4	952	95	96	bül	9.5
102	9	Do5	C5	318	318	1	8	476	95	96	a	9.583333
103	9	Fa5	F5	340	340	1	8	476	95	96	ğa	9.666667
104	9	Mi5	E5	336	336	3	16	714	99	96	ran	9.791667
105	9	Re5	D5	327	327	1	16	238	95	96		9.833333
106	9	Re5	D5	327	327	3	16	714	99	96	vak	9.958333
107	9	Do5	C5	318	318	1	16	238	95	96		10
108	11	Do5	C5	318	318	1	8	476	95	96	te	10.08333
109	9	Do5	C5	318	318	1	16	238	99	96	ka	10.125
110	9	Si4b1	B4b1	313	313	1	16	238	95	96		10.16667
111	9	Si4b1	B4b1	313	313	3	16	714	99	96	dar	10.29167
112	9	La4	A4	305	305	1	16	238	95	96		10.33333
113	9	La4	A4	305	305	3	16	714	99	96	ağ	10.45833
114	9	Sol4	G4	296	296	1	16	238	95	96		10.5
115	9	Sol4	G4	296	296	1	8	476	99	96	lar	10.58333
116	8	Fa5#4	F5#4	344	344	0	0	0	99	96		10.58333
117	9	Mi5	E5	336	336	1	16	238	99	96		10.625
118	11	Re5	D5	327	327	1	16	238	95	96		10.66667
119	9	Re5	D5	327	327	1	4	952	95	96	mış	10.83333
120	9			-1	-1	1	4	952	100	0		11
121	53			0	0	0	0	0	0	0		11
122	9	Do5	C5	318	318	1	8	476	95	96	Es	11.08333
123	9	Mi5	E5	336	336	1	8	476	95	96	ki	11.16667
124	9	Mi5	E5	336	336	3	16	714	99	96	Şi	11.29167
125	10	Re5	D5	327	327	1	16	238	95	96		11.33333
126	8	Do5	C5	318	318	0	0	0	95	84		11.33333
127	9	Do5	C5	318	318	1	4	952	95	96	râ	11.5
128	9	Si4b1	B4b1	313	313	1	8	476	95	96	zı	11.58333
129	9	Re5	D5	327	327	1	8	476	95	96	ha	11.66667
130	9	Re5	D5	327	327	3	16	714	99	96	yâl_	11.79167
131	10	Do5	C5	318	318	1	16	238	95	96		11.83333
132	8	Si4b1	B4b1	313	313	0	0	0	95	84		11.83333
133	9	Si4b1	B4b1	313	313	3	16	714	99	96	et	11.95833
134	9	La4	A4	305	305	1	16	238	95	96		12
135	9	La4	A4	305	305	1	8	476	95	96	ti	12.08333
